row_id,dataset,molecule_index,component_split,parent_atoms,maskable_atom_fraction,mask_id,mask_atoms,mask_size,valid_unique_mutants,local_supported_mutants,absolute_in_domain_mutants,covered,failure
CHEMBL1862_Ki:455,CHEMBL1862_Ki,455,calibration,28,0.6428571428571429,5,"[1, 2, 3, 4, 6, 7]",6,8,7,5,True,
CHEMBL1862_Ki:455,CHEMBL1862_Ki,455,calibration,28,0.6428571428571429,6,"[17, 18, 19, 20, 21, 22]",6,8,7,8,True,
CHEMBL1862_Ki:456,CHEMBL1862_Ki,456,test,29,0.6551724137931034,0,[0],1,8,8,8,True,
CHEMBL1862_Ki:456,CHEMBL1862_Ki,456,test,29,0.6551724137931034,1,[1],1,8,8,8,True,
CHEMBL1862_Ki:456,CHEMBL1862_Ki,456,test,29,0.6551724137931034,2,[8],1,8,8,2,True,
CHEMBL1862_Ki:456,CHEMBL1862_Ki,456,test,29,0.6551724137931034,3,[18],1,8,8,8,True,
CHEMBL1862_Ki:456,CHEMBL1862_Ki,456,test,29,0.6551724137931034,4,[22],1,8,8,8,True,
CHEMBL1862_Ki:456,CHEMBL1862_Ki,456,test,29,0.6551724137931034,5,"[6, 7]",2,8,7,4,True,
CHEMBL1862_Ki:456,CHEMBL1862_Ki,456,test,29,0.6551724137931034,6,"[2, 3, 4, 5, 27, 28]",6,8,4,8,True,
CHEMBL1862_Ki:456,CHEMBL1862_Ki,456,test,29,0.6551724137931034,7,"[15, 16, 17, 19, 20, 21]",6,8,6,4,True,
CHEMBL1862_Ki:477,CHEMBL1862_Ki,477,test,24,0.5833333333333334,0,[0],1,8,8,2,True,
CHEMBL1862_Ki:477,CHEMBL1862_Ki,477,test,24,0.5833333333333334,1,[5],1,8,8,8,True,
CHEMBL1862_Ki:477,CHEMBL1862_Ki,477,test,24,0.5833333333333334,2,[14],1,8,8,0,True,
CHEMBL1862_Ki:477,CHEMBL1862_Ki,477,test,24,0.5833333333333334,3,"[15, 16]",2,7,7,2,True,
CHEMBL1862_Ki:477,CHEMBL1862_Ki,477,test,24,0.5833333333333334,4,"[17, 18, 19]",3,8,8,6,True,
CHEMBL1862_Ki:477,CHEMBL1862_Ki,477,test,24,0.5833333333333334,5,"[1, 2, 3, 4, 6, 7]",6,8,0,8,False,
CHEMBL1862_Ki:53,CHEMBL1862_Ki,53,calibration,27,0.6666666666666666,0,[0],1,8,8,8,True,
CHEMBL1862_Ki:53,CHEMBL1862_Ki,53,calibration,27,0.6666666666666666,1,[6],1,7,7,7,True,
