dataset,component_id,atoms,positive_atoms,prevalence,replicates,mean_random_ap,median_random_ap,random_ap_ci95_low,random_ap_ci95_high,mean_random_nap,median_random_nap,random_nap_ci95_low,random_nap_ci95_high
CHEMBL204_Ki,144,80,14,0.175,100,0.22865132065690819,0.21474924342295626,0.14016942426049836,0.35722674121447,0.0650319038265554,0.048180901118734895,-0.042218879684244405,0.22088089844178185
CHEMBL204_Ki,147,81,13,0.16049382716049382,100,0.20912315767446996,0.2025056352351569,0.13329499892726665,0.35727074747840853,0.057926114288706865,0.05004347726540751,-0.032398604218991184,0.23439603743751608
CHEMBL204_Ki,155,60,41,0.6833333333333333,100,0.7044854679880288,0.7073365200433711,0.6217327257196081,0.7864424465161032,0.06679621469903811,0.07579953697906662,-0.1945282345696584,0.32560772584032566
CHEMBL204_Ki,156,68,14,0.20588235294117646,100,0.2410153516012974,0.23712020413268475,0.15902340297975193,0.35213753902215217,0.04424155386830044,0.03933655335226972,-0.05900756661809015,0.1841731972871546
CHEMBL204_Ki,172,73,17,0.2328767123287671,100,0.27517483856492214,0.26671199572741966,0.17918385373567097,0.41582736696592953,0.055138628843559266,0.044106708716100645,-0.06999247638028605,0.2384892462234439
CHEMBL204_Ki,178,79,12,0.1518987341772152,100,0.18744868631513772,0.1766147433999598,0.11602120364485533,0.34507432500176244,0.04191710774471466,0.029142757143236185,-0.04230335689636463,0.22777420410655574
CHEMBL204_Ki,189,45,4,0.08888888888888889,100,0.15425595063469158,0.12433035714285715,0.06331664349756455,0.3980677376485303,0.07174433606246637,0.038899172473867594,-0.028067098600234028,0.33934263888253324
CHEMBL2147_Ki,6,58,12,0.20689655172413793,100,0.24271915285908718,0.2291082945881774,0.16260937729664515,0.4061694241692087,0.04516762751797953,0.02800611056770196,-0.05584035036509958,0.2512571000394371
CHEMBL2147_Ki,7,55,4,0.07272727272727272,100,0.12218554842441316,0.10086693668695548,0.054006614960619974,0.2975844038208162,0.05333735614397499,0.030346696427108858,-0.020188944650311787,0.24249298451264492
CHEMBL2147_Ki,8,49,29,0.5918367346938775,100,0.629936194232661,0.623365757352113,0.5244415672267925,0.7608109789783706,0.09334367587001957,0.07724610551267694,-0.16511816029435855,0.4139868984970078
CHEMBL2147_Ki,13,25,21,0.84,100,0.855221199743208,0.8575574643106084,0.7436299972563085,0.9611059938903489,0.09513249839505084,0.10973415194130279,-0.6023125171480717,0.7569124618146805
CHEMBL2147_Ki,15,52,22,0.4230769230769231,100,0.47418217667454216,0.47469287269235005,0.3556306501620682,0.6443644966497489,0.08858243956920649,0.0894676460000734,-0.11690687305241511,0.38356512752623156
CHEMBL2147_Ki,18,47,3,0.06382978723404255,100,0.12529992019496036,0.09923244700063905,0.05009326676374731,0.4058406187026612,0.0656612783900713,0.03781647747795535,-0.01467310141145173,0.36532975179602445
CHEMBL2147_Ki,36,65,16,0.24615384615384617,100,0.2878157539299587,0.27573371243233147,0.19408526878251883,0.4093701197805637,0.05526579602953705,0.03923859812452135,-0.06907056181910769,0.21651138338238043
CHEMBL2147_Ki,39,61,13,0.21311475409836064,100,0.27072554270046273,0.25463937635840306,0.16973846530570144,0.44772683961697646,0.07321371051517148,0.05277087412213724,-0.05512403367400441,0.2981528586799076
CHEMBL2147_Ki,42,60,20,0.3333333333333333,100,0.3693599232957657,0.3602284228062864,0.2569007159101695,0.5036424125139749,0.054039884943648614,0.04034263420942965,-0.11464892613474567,0.25546361877096235
CHEMBL2147_Ki,44,79,15,0.189873417721519,100,0.22119041531486985,0.2192724647997567,0.15320219662979484,0.3308651310841287,0.03865691890429249,0.03628944873719965,-0.04526603853509702,0.17403664618197132
CHEMBL2147_Ki,48,64,20,0.3125,100,0.3607594572310235,0.3479336265184908,0.26150060380183704,0.5227214725357132,0.07019557415421591,0.05153982039053212,-0.07418093992460068,0.3057766873246737
CHEMBL2147_Ki,51,67,13,0.19402985074626866,100,0.23122036663163936,0.2179897286508534,0.1518980090965284,0.3621381201039087,0.046143788228145084,0.029727996659392165,-0.05227469241727033,0.20857877864744231
CHEMBL2147_Ki,52,49,9,0.1836734693877551,100,0.2440530082567849,0.22731923311945604,0.15245312516401613,0.4367359241914163,0.07396493511456148,0.05346606057133363,-0.03824492167408026,0.310001507134485
CHEMBL218_EC50,2,57,4,0.07017543859649122,100,0.11881610399369874,0.0894862439419089,0.055497102641855006,0.34341021297543023,0.052311659012091075,0.02076822461676995,-0.015786134894608766,0.2938562667848967
CHEMBL218_EC50,3,58,18,0.3103448275862069,100,0.34908383009602245,0.33780970237249774,0.25732792898361845,0.507770911734311,0.05617155363923267,0.039824068440121714,-0.07687450297375323,0.2862678220147508
CHEMBL218_EC50,4,55,11,0.2,100,0.25423947829019633,0.24440374536721934,0.15829413510493878,0.39078518116783884,0.06779934786274541,0.055504681709024166,-0.05213233111882654,0.23848147645979853
CHEMBL218_EC50,17,57,4,0.07017543859649122,100,0.12978645534900513,0.09572525390434933,0.054108715681074455,0.37875883584866804,0.06410996141308097,0.027478103255620986,-0.01727930577695766,0.3318727102523411
CHEMBL218_EC50,27,57,23,0.40350877192982454,100,0.4466959295899668,0.43182217894314145,0.3473642768848338,0.5858956197038836,0.07240199960670904,0.047466594110560756,-0.09412459463424916,0.30576618597415783
CHEMBL218_EC50,29,56,32,0.5714285714285714,100,0.6059075613798443,0.5999622660827251,0.5075122205218529,0.7533666004303601,0.08045097655296991,0.06657862085969177,-0.14913815211567666,0.4245220676708401
CHEMBL218_EC50,31,53,4,0.07547169811320754,100,0.14173800946025106,0.11311935918455851,0.06043545856082117,0.41678904428904406,0.07167580615088383,0.04072093952615513,-0.016263687679111787,0.36917998667998647
CHEMBL218_EC50,36,72,14,0.19444444444444445,100,0.24409755862314036,0.23078610029178243,0.15515944790767933,0.3852845046816674,0.061638348635622515,0.04511377967255749,-0.048767581907708434,0.23690490236344922
CHEMBL218_EC50,47,58,20,0.3448275862068966,100,0.3815626436762684,0.3762006096100329,0.2931064856644916,0.4869960236764494,0.05606929824272537,0.047885140983734316,-0.07894273240682861,0.21699393087458063
CHEMBL218_EC50,49,58,31,0.5344827586206896,100,0.5693859947412558,0.5654981616575951,0.4816437349760899,0.6714049462978476,0.07497732203677163,0.06662568059779694,-0.11350605079210298,0.2941291438990802
CHEMBL218_EC50,50,57,13,0.22807017543859648,100,0.2831673885906188,0.26584263591886315,0.17544356929814223,0.431808455391051,0.07137593521966532,0.048932505622163676,-0.06817537613649756,0.2639336808474979
CHEMBL218_EC50,51,71,30,0.4225352112676056,100,0.4582235486094085,0.4479875815086555,0.3795023458594484,0.6067945145353209,0.061801754908975715,0.04407605578328144,-0.0745203279019308,0.31908318370750677
CHEMBL218_EC50,52,67,29,0.43283582089552236,100,0.4624434818234407,0.4533813105327268,0.3738722461899728,0.5680314975159624,0.05220298110975064,0.03622494225507101,-0.1039620922439953,0.2383713245676178
CHEMBL218_EC50,57,64,24,0.375,100,0.4283183060314151,0.4207245074111434,0.3110367267925239,0.5834856236965463,0.08530928965026406,0.07315921185782943,-0.10234123713196175,0.33357699791447415
CHEMBL218_EC50,58,94,24,0.2553191489361702,100,0.2822526295809961,0.2747340077434461,0.20996819071776718,0.39393705773608334,0.0361678168659091,0.026071381826913338,-0.060899858178998324,0.18614404895988337
CHEMBL218_EC50,61,90,16,0.17777777777777778,100,0.21300602539414418,0.20727814877786843,0.1370040443909893,0.3360051432656387,0.04284516601990508,0.03587882959470484,-0.049589675740688725,0.19243868775550652
CHEMBL218_EC50,63,58,26,0.4482758620689655,100,0.4857068812726134,0.48510418096863284,0.38350414139806194,0.6016380003396646,0.06784372230661187,0.06675132800564705,-0.11739874371601271,0.2779688756156421
CHEMBL218_EC50,68,54,24,0.4444444444444444,100,0.476181061042868,0.47015327436403354,0.3736217273279009,0.625529849672552,0.0571259098771626,0.0462758938552604,-0.1274808908097783,0.32595372941059364
