dataset,interaction,contrast,estimate
CHEMBL239_EC50,representation_by_explainer,molformer_vs_morgan,-0.037258151685847535
CHEMBL239_EC50,three_way,molformer_vs_morgan,0.034001670522049464
CHEMBL239_EC50,representation_by_predictor,unimol_vs_morgan,0.01009040231829524
CHEMBL239_EC50,representation_by_explainer,unimol_vs_morgan,-0.010954274776967397
CHEMBL239_EC50,three_way,unimol_vs_morgan,0.04109713581294956
CHEMBL239_EC50,predictor_by_explainer,average_over_representations,-0.006525218120225391
CHEMBL244_Ki,representation_by_predictor,molformer_vs_morgan,-0.0007337376633071713
CHEMBL244_Ki,representation_by_explainer,molformer_vs_morgan,0.017850017554521914
CHEMBL244_Ki,three_way,molformer_vs_morgan,-0.021755472622078886
CHEMBL244_Ki,representation_by_predictor,unimol_vs_morgan,0.022492110001173522
CHEMBL244_Ki,representation_by_explainer,unimol_vs_morgan,0.022995059194943844
CHEMBL244_Ki,three_way,unimol_vs_morgan,0.09505735712226256
CHEMBL244_Ki,predictor_by_explainer,average_over_representations,-0.025613086867534048
CHEMBL262_Ki,representation_by_predictor,molformer_vs_morgan,-0.08886747566052215
CHEMBL262_Ki,representation_by_explainer,molformer_vs_morgan,0.1039290476756861
CHEMBL262_Ki,three_way,molformer_vs_morgan,-0.073021650898822
CHEMBL262_Ki,representation_by_predictor,unimol_vs_morgan,-0.12158451734554404
CHEMBL262_Ki,representation_by_explainer,unimol_vs_morgan,0.10449166380546843
CHEMBL262_Ki,three_way,unimol_vs_morgan,-0.16597380116955263
CHEMBL262_Ki,predictor_by_explainer,average_over_representations,-0.0341996627614795
CHEMBL264_Ki,representation_by_predictor,molformer_vs_morgan,-0.0501903925576557
CHEMBL264_Ki,representation_by_explainer,molformer_vs_morgan,0.05598390511345139
CHEMBL264_Ki,three_way,molformer_vs_morgan,-0.1946116121632389
CHEMBL264_Ki,representation_by_predictor,unimol_vs_morgan,0.008530265976856403
CHEMBL264_Ki,representation_by_explainer,unimol_vs_morgan,0.04849265302124974
CHEMBL264_Ki,three_way,unimol_vs_morgan,-0.06656485917995983
CHEMBL264_Ki,predictor_by_explainer,average_over_representations,-0.00753609584139098
CHEMBL2835_Ki,representation_by_predictor,molformer_vs_morgan,-0.24926083428259643
CHEMBL2835_Ki,representation_by_explainer,molformer_vs_morgan,-0.17549745394024552
CHEMBL2835_Ki,three_way,molformer_vs_morgan,-0.14249567856843737
CHEMBL2835_Ki,representation_by_predictor,unimol_vs_morgan,-0.42318774841611134
CHEMBL2835_Ki,representation_by_explainer,unimol_vs_morgan,0.07896321261153944
CHEMBL2835_Ki,three_way,unimol_vs_morgan,-0.18047506332520052
CHEMBL2835_Ki,predictor_by_explainer,average_over_representations,-0.09563716780960356
CHEMBL287_Ki,representation_by_predictor,molformer_vs_morgan,-0.009711888929901767
CHEMBL287_Ki,representation_by_explainer,molformer_vs_morgan,-0.017312775746444967
CHEMBL287_Ki,three_way,molformer_vs_morgan,-0.054458866640276944
CHEMBL287_Ki,representation_by_predictor,unimol_vs_morgan,0.022823187543668487
CHEMBL287_Ki,representation_by_explainer,unimol_vs_morgan,-0.025372314471034253
CHEMBL287_Ki,three_way,unimol_vs_morgan,0.06257412205710172
CHEMBL287_Ki,predictor_by_explainer,average_over_representations,0.03537203515202767
CHEMBL2971_Ki,representation_by_predictor,molformer_vs_morgan,-0.14561288776330472
CHEMBL2971_Ki,representation_by_explainer,molformer_vs_morgan,0.07008806398862659
CHEMBL2971_Ki,three_way,molformer_vs_morgan,-0.18839724980225245
CHEMBL2971_Ki,representation_by_predictor,unimol_vs_morgan,-0.06624987589824537
CHEMBL2971_Ki,representation_by_explainer,unimol_vs_morgan,0.13168787880283783
CHEMBL2971_Ki,three_way,unimol_vs_morgan,-0.10049148211148698
CHEMBL2971_Ki,predictor_by_explainer,average_over_representations,0.020386967322778338
CHEMBL3979_EC50,representation_by_predictor,molformer_vs_morgan,0.003862372141225077
CHEMBL3979_EC50,representation_by_explainer,molformer_vs_morgan,0.00711814556299927
CHEMBL3979_EC50,three_way,molformer_vs_morgan,0.02839550905784202
CHEMBL3979_EC50,representation_by_predictor,unimol_vs_morgan,0.014706707965977759
CHEMBL3979_EC50,representation_by_explainer,unimol_vs_morgan,0.0123550790696729
CHEMBL3979_EC50,three_way,unimol_vs_morgan,0.03803358590949862
CHEMBL3979_EC50,predictor_by_explainer,average_over_representations,0.012332662447167108
CHEMBL4005_Ki,representation_by_predictor,molformer_vs_morgan,-0.07790813701397593
CHEMBL4005_Ki,representation_by_explainer,molformer_vs_morgan,-0.06765808924082099
CHEMBL4005_Ki,three_way,molformer_vs_morgan,-0.1285910949198336
CHEMBL4005_Ki,representation_by_predictor,unimol_vs_morgan,0.0060335605951038155
CHEMBL4005_Ki,representation_by_explainer,unimol_vs_morgan,0.08637247948551531
CHEMBL4005_Ki,three_way,unimol_vs_morgan,-0.0686108080600584
CHEMBL4005_Ki,predictor_by_explainer,average_over_representations,0.061442877622742316
CHEMBL4203_Ki,representation_by_predictor,molformer_vs_morgan,0.18704924844593313
CHEMBL4203_Ki,representation_by_explainer,molformer_vs_morgan,-0.2833700540375319
CHEMBL4203_Ki,three_way,molformer_vs_morgan,0.07549860285926079
CHEMBL4203_Ki,representation_by_predictor,unimol_vs_morgan,0.13831665075388205
CHEMBL4203_Ki,representation_by_explainer,unimol_vs_morgan,-0.054539537963694464
CHEMBL4203_Ki,three_way,unimol_vs_morgan,0.05624642458432312
CHEMBL4203_Ki,predictor_by_explainer,average_over_representations,-0.01627435150008871
CHEMBL4616_EC50,representation_by_predictor,molformer_vs_morgan,0.047415328158039616
CHEMBL4616_EC50,representation_by_explainer,molformer_vs_morgan,0.01145448624624193
CHEMBL4616_EC50,three_way,molformer_vs_morgan,-0.07530758628827583
CHEMBL4616_EC50,representation_by_predictor,unimol_vs_morgan,0.005655021641123255
CHEMBL4616_EC50,representation_by_explainer,unimol_vs_morgan,0.08629138422766179
CHEMBL4616_EC50,three_way,unimol_vs_morgan,-0.16112327647885086
CHEMBL4616_EC50,predictor_by_explainer,average_over_representations,0.03017700979302527
CHEMBL4792_Ki,representation_by_predictor,molformer_vs_morgan,0.050234716551859536
CHEMBL4792_Ki,representation_by_explainer,molformer_vs_morgan,0.013754234088038629
CHEMBL4792_Ki,three_way,molformer_vs_morgan,-0.08418828904806601
CHEMBL4792_Ki,representation_by_predictor,unimol_vs_morgan,0.1285512628069962
CHEMBL4792_Ki,representation_by_explainer,unimol_vs_morgan,-0.04167398957726465
CHEMBL4792_Ki,three_way,unimol_vs_morgan,0.12579213083191948
CHEMBL4792_Ki,predictor_by_explainer,average_over_representations,-0.017157281985118983
