dataset,representation,predictor,explainer,components,trained_ap,permuted_ap,trained_nap,permuted_nap,prevalence,median_delta_ap,median_delta_nap,ci90_low,ci90_high,ci95_low,ci95_high
CHEMBL244_Ki,molformer,mlp,crem_mean,52,0.2507656050361873,0.29698641245745766,0.056539694052385216,0.08834727986148772,0.20761494252873558,-0.006066285895737017,-0.009737034164289553,-0.043507251043674394,0.00433739387227762,-0.0482913507914764,0.008131296457484186
CHEMBL244_Ki,molformer,xgboost,crem_lime,52,0.27610284502065596,0.25496533445685887,0.09994494239067345,0.05929329091846526,0.20761494252873558,0.015010693801781924,0.019033983997894653,-0.014516338490189844,0.0484266100635201,-0.020197040892558315,0.06411665098418623
CHEMBL244_Ki,molformer,xgboost,crem_mean,52,0.25881146509264213,0.2859829494671472,0.043512174020584736,0.06619026492547372,0.20761494252873558,-0.005173028210305571,-0.006252991553901764,-0.03747139613374459,0.004508885713373492,-0.04955205829337644,0.007429914959732966
CHEMBL244_Ki,morgan,mlp,crem_lime,52,0.2328614571897906,0.33083350092573066,0.041149690453467,0.15315061969479749,0.20761494252873558,-0.0727188852099401,-0.09691756054357886,-0.12326582875437041,-0.03538201782012592,-0.12725956879998385,-0.02432176722608887
CHEMBL244_Ki,morgan,mlp,crem_mean,52,0.2649467953370064,0.3120383222031793,0.03598790092979025,0.08030877263073641,0.20761494252873558,-0.03718729185769154,-0.04342973386221865,-0.06726767327969996,-0.009425809568794095,-0.07188425609478247,-0.0030204634255137364
CHEMBL244_Ki,morgan,xgboost,crem_lime,52,0.22413980594740116,0.26847325163654856,0.04329341702667955,0.07887426289780389,0.20761494252873558,-0.027983927256242522,-0.03324247091786353,-0.06217670948202091,-0.0020435871434416487,-0.07209032974595969,0.009245911355494518
CHEMBL244_Ki,morgan,xgboost,crem_mean,52,0.259697796308507,0.2969745888320513,0.021212422953740467,0.07023589735369243,0.20761494252873558,-0.025123160420549767,-0.02980169260409859,-0.06852254264402918,-0.006577580700716651,-0.07436778587898037,0.0024838965803281165
CHEMBL244_Ki,unimol,mlp,crem_lime,52,0.2498685740485485,0.28589826699835963,0.04694142466555405,0.06530897026303747,0.20761494252873558,-0.001968516278418056,-0.002704586559658273,-0.040966193983926105,0.025287144650482547,-0.049905640605809036,0.03434982605596916
CHEMBL244_Ki,unimol,mlp,crem_mean,52,0.2801842815003797,0.28830082030439086,0.04602082113939958,0.08562171676466962,0.20761494252873558,-0.01618118640520831,-0.019740497634373185,-0.03630163211257431,-0.004563493627269568,-0.04046696513363174,-0.002072458249526234
CHEMBL244_Ki,unimol,xgboost,crem_lime,52,0.25877576899488225,0.26734826873496265,0.053821468568360786,0.061706547369849665,0.20761494252873558,-0.007238922846830878,-0.009050285496247744,-0.03931084600637508,0.04178765263712586,-0.04283376109724468,0.044493648911949055
CHEMBL244_Ki,unimol,xgboost,crem_mean,52,0.27543666816291235,0.30219340903842407,0.07636564889134026,0.06352998506918014,0.20761494252873558,0.012295426294108958,0.018924112183704635,-0.023165708536567034,0.041575439228635686,-0.027305672956745096,0.04965643173700059
CHEMBL262_Ki,molformer,mlp,crem_lime,13,0.3648707077922077,0.4477393516538437,0.13493405616304424,0.21087517308595724,0.1607142857142857,-0.03208905709873211,-0.052471207575420245,-0.24697894851318267,0.14817919028348775,-0.24697894851318267,0.14817919028348775
CHEMBL262_Ki,molformer,mlp,crem_mean,13,0.3135736798929234,0.2996345254142589,0.042615921955919504,0.13423753133272429,0.1607142857142857,-0.04057105459949184,-0.04686656307182674,-0.13060995644611942,-0.009134968748007533,-0.13060995644611942,-0.009134968748007533
CHEMBL262_Ki,molformer,xgboost,crem_lime,13,0.4110443054887498,0.42088631151834227,0.21434855519462193,0.23172221866803144,0.1607142857142857,0.004117136959601697,0.004858221612329905,-0.13087251134918343,0.0783066067086787,-0.13087251134918343,0.0783066067086787
CHEMBL262_Ki,molformer,xgboost,crem_mean,13,0.31517926517926514,0.2743607449589179,0.07696160981875264,0.06364447228166627,0.1607142857142857,-0.009442349764930413,-0.01709329685491988,-0.08075010483138892,0.009718620797558211,-0.08075010483138892,0.009718620797558211
CHEMBL262_Ki,morgan,mlp,crem_lime,13,0.30659987071751776,0.3540186814380362,0.18402116402116397,0.0895262109764039,0.1607142857142857,-0.0507627659136872,-0.08784689014307182,-0.14734024946777313,0.054723911260608674,-0.14734024946777313,0.054723911260608674
CHEMBL262_Ki,morgan,mlp,crem_mean,13,0.2420119768457364,0.2622928585200727,0.0497496191175667,0.05723032069970843,0.1607142857142857,-0.012562731706104419,-0.014824023413203196,-0.06667331322411936,0.05938549525513524,-0.06667331322411936,0.05938549525513524
CHEMBL262_Ki,morgan,xgboost,crem_lime,13,0.18511113046544603,0.407685813398216,-0.008676977343643968,0.16859220824129115,0.1607142857142857,-0.13868190841476402,-0.15589576206525482,-0.29523782390449055,-0.05051602699605939,-0.29523782390449055,-0.05051602699605939
CHEMBL262_Ki,morgan,xgboost,crem_mean,13,0.22607908505789398,0.3013468013468013,0.03368690267869153,0.09305555555555554,0.1607142857142857,-0.03400673400673404,-0.0374074074074075,-0.11298725472234611,0.054038103395235376,-0.11298725472234611,0.054038103395235376
CHEMBL262_Ki,unimol,mlp,crem_lime,13,0.4545028731049085,0.481668161368376,0.26819374644087285,0.31012095932857753,0.1607142857142857,-0.02170932771282119,-0.025078016495845235,-0.06406355573839542,0.1929986045903888,-0.06406355573839542,0.1929986045903888
CHEMBL262_Ki,unimol,mlp,crem_mean,13,0.30437710437710436,0.3630422319891917,0.0834720381659158,0.10076550398474131,0.1607142857142857,0.02093173555222061,0.02644008701333128,-0.1261051123942331,0.07679274339902353,-0.1261051123942331,0.07679274339902353
CHEMBL262_Ki,unimol,xgboost,crem_lime,13,0.49743174860666306,0.41617774131944785,0.33149758454106276,0.30438198965721447,0.1607142857142857,0.0964743688315366,0.11144452951229211,-0.26591565936784173,0.2896205519769405,-0.26591565936784173,0.2896205519769405
CHEMBL262_Ki,unimol,xgboost,crem_mean,13,0.27209165326640383,0.28771043771043764,0.0818838873061095,0.1166860383037097,0.1607142857142857,0.03675150070498348,0.04245431977989471,-0.11196507754262428,0.07337126750854348,-0.11196507754262428,0.07337126750854348
CHEMBL264_Ki,molformer,mlp,crem_lime,46,0.3896128970102967,0.44943107847078323,0.035898035764996665,0.11924458133297867,0.33346938775510204,-0.042177862753082745,-0.08737828757812972,-0.1465109440865227,-0.05224916004961472,-0.16436730033925526,-0.03645072011629401
CHEMBL264_Ki,molformer,mlp,crem_mean,46,0.4567472198759498,0.45461331364151525,0.1062924845794521,0.10974083467855267,0.33346938775510204,-0.0008148949766430547,-0.001090705584122234,-0.05331187431311683,0.018263278456764537,-0.06465063424748657,0.02243135231696454
CHEMBL264_Ki,molformer,xgboost,crem_lime,46,0.45930062363869595,0.45244161403243155,0.08498574012329882,0.057917439119726896,0.33346938775510204,0.012891439977149227,0.01716511366322055,-0.04519772586496116,0.08530879786703442,-0.05222450826444326,0.09171466484660759
CHEMBL264_Ki,molformer,xgboost,crem_mean,46,0.45323136516704177,0.41615046355788887,0.10660572746841297,0.09805932812100801,0.33346938775510204,-0.009053342490842484,-0.011636188566335599,-0.057942278782547985,0.08082977023504095,-0.058042977690234004,0.08154358560559775
CHEMBL264_Ki,morgan,mlp,crem_lime,46,0.44166933665470715,0.4572992596212523,0.12262976186826008,0.13795703812792087,0.33346938775510204,-0.015283340831973635,-0.04537570804865426,-0.10675566212559662,-0.0019626702949890012,-0.10761293383076663,0.03353523942135969
CHEMBL264_Ki,morgan,mlp,crem_mean,46,0.45874175895538394,0.480633955099098,0.09086956993314448,0.11602931445715205,0.33346938775510204,-5.02073905487288e-05,-0.00041002702281484754,-0.03357480489678436,0.02505924973088855,-0.03401147510459251,0.026569034090600335
CHEMBL264_Ki,morgan,xgboost,crem_lime,46,0.4036957757573567,0.4284695115470608,0.01694719425065415,0.14041081389297172,0.33346938775510204,-0.045713796496345355,-0.08832850544657915,-0.16424259132370458,0.020623505076356102,-0.20165451725512917,0.028933244911452317
CHEMBL264_Ki,morgan,xgboost,crem_mean,46,0.4393559715851715,0.40816589053253577,0.0793128508379837,0.05901461359737688,0.33346938775510204,0.017147642066593277,0.03615990351893554,-0.02962132957969394,0.08111744577648236,-0.035069972044761935,0.09483107472237905
CHEMBL264_Ki,unimol,mlp,crem_lime,46,0.40105573519356785,0.39908701979274697,0.04347133315110599,0.05222715905002531,0.33346938775510204,-0.01634090808572919,-0.023860397873897057,-0.0590075875924506,0.03130220598658645,-0.07211150727849464,0.046181381628330964
CHEMBL264_Ki,unimol,mlp,crem_mean,46,0.4480786477726535,0.45505400449356687,0.10041329391306061,0.13615797034039767,0.33346938775510204,0.003593094908620087,0.005895059720672537,-0.023712927814173328,0.031819352537208884,-0.030811604152248498,0.03289908707806653
CHEMBL264_Ki,unimol,xgboost,crem_lime,46,0.377612572521315,0.430981022753788,0.03162901924175195,0.06363934209739028,0.33346938775510204,-0.028785930487818856,-0.04206103165869843,-0.10818508791499641,-0.006855844413231833,-0.11510986678400156,0.00514584007142882
CHEMBL264_Ki,unimol,xgboost,crem_mean,46,0.4521064260264889,0.46059685613736173,0.10620867814940498,0.14136496380116412,0.33346938775510204,0.0004718727585094895,0.0006522946955865999,-0.02208759013642387,0.03911709159853113,-0.03661628332680959,0.04649342427120201
CHEMBL2835_Ki,molformer,mlp,crem_lime,5,0.2626131922162239,0.3821913853260603,0.037235565172158765,0.1885577527114214,0.2933333333333333,-0.19434841610180226,-0.24987653498803136,-0.3198292035008252,0.29352328559754315,-0.3198292035008252,0.29352328559754315
CHEMBL2835_Ki,molformer,mlp,crem_mean,5,0.5308175557804821,0.5437402738873327,0.31108776844070957,0.3151651450053705,0.2933333333333333,-0.0031712928836251653,-0.0040773765646609506,-0.2921381969853333,0.16343442321907514,-0.2921381969853333,0.16343442321907514
CHEMBL2835_Ki,molformer,xgboost,crem_lime,5,0.28841020013718777,0.43266132195225754,0.0850988287478129,0.14813789649417805,0.2933333333333333,-0.08801267567714938,-0.09727716785369145,-0.23523100445721695,0.09701719825712601,-0.23523100445721695,0.09701719825712601
CHEMBL2835_Ki,molformer,xgboost,crem_mean,5,0.5742193971605736,0.5667768959435626,0.3990937534720625,0.3571078431372548,0.2933333333333333,0.00990763977202258,0.018046058156183986,-0.10209454696911435,0.16819140168354232,-0.10209454696911435,0.16819140168354232
CHEMBL2835_Ki,morgan,mlp,crem_lime,5,0.5560182024647905,0.5142218756189344,0.19131886877515394,0.46308733621040127,0.2933333333333333,-0.012143816093702464,-0.018595218393481786,-0.42017527020623,0.14900265662982526,-0.42017527020623,0.14900265662982526
CHEMBL2835_Ki,morgan,mlp,crem_mean,5,0.598258198322671,0.6489579692753066,0.43149745045661,0.4996140780873753,0.2933333333333333,-0.012761700045436974,-0.01954135319457556,-0.41474888200894394,0.10991988525860907,-0.41474888200894394,0.10991988525860907
CHEMBL2835_Ki,morgan,xgboost,crem_lime,5,0.22572091343252032,0.4635432216997992,0.004498317270383301,0.1625628905830108,0.2933333333333333,-0.12179887335572703,-0.18650452482595697,-0.3972941501064974,0.011373217981538637,-0.3972941501064974,0.011373217981538637
CHEMBL2835_Ki,morgan,xgboost,crem_mean,5,0.35412098341019904,0.5245626320703719,0.1891769865841073,0.3464697741110812,0.2933333333333333,-0.13644626603386195,-0.17543091347210835,-0.29719120596668647,0.1219945168702933,-0.29719120596668647,0.1219945168702933
CHEMBL2835_Ki,unimol,mlp,crem_lime,5,0.4667297556202254,0.36031629231797235,0.20069224629679275,0.17390347991825675,0.2933333333333333,0.00808763107489674,0.014731042314990422,-0.11340013314858521,0.228760262981247,-0.11340013314858521,0.228760262981247
CHEMBL2835_Ki,unimol,mlp,crem_mean,5,0.5941103098644517,0.49213736437003724,0.382735906862745,0.2844255245958032,0.2933333333333333,0.016365209185278284,0.02505922656495746,-0.12767379679144392,0.14430133796379402,-0.12767379679144392,0.14430133796379402
