dataset,component_id,representation,predictor,explainer,trained_seed_sd,permuted_seed_sd,matched_delta_seed_sd
CHEMBL231_Ki,34,molformer,xgboost,crem_mean,0.01714403510413543,0.011061881643267624,0.023956929808202274
CHEMBL231_Ki,34,morgan,mlp,crem_lime,0.003494506676385126,0.10104825834169308,0.09761399297854667
CHEMBL231_Ki,34,morgan,mlp,crem_mean,0.005804319410260387,0.13381105451459843,0.13431463049904901
CHEMBL231_Ki,34,morgan,xgboost,crem_lime,0.008082856630995188,0.05161103416679683,0.05954920101388704
CHEMBL231_Ki,34,morgan,xgboost,crem_mean,0.03560623526850847,0.011757068003921617,0.031024227087770764
CHEMBL231_Ki,34,unimol,mlp,crem_lime,0.10959320888311297,0.3075837607208879,0.2880202143143618
CHEMBL231_Ki,34,unimol,mlp,crem_mean,0.026937311721326313,0.12217930852072155,0.1247457353932949
CHEMBL231_Ki,34,unimol,xgboost,crem_lime,0.1614675842210863,0.1865586323165813,0.3459207996286043
CHEMBL231_Ki,34,unimol,xgboost,crem_mean,0.03302077062463484,0.12202095600583841,0.1464300638474697
CHEMBL231_Ki,43,molformer,mlp,crem_lime,0.05167990933175131,0.14732195920816313,0.1689224392117517
CHEMBL231_Ki,43,molformer,mlp,crem_mean,0.04154347609617376,0.08129577603799185,0.08895246681188898
CHEMBL231_Ki,43,molformer,xgboost,crem_lime,0.3250522312381606,0.4219739838260809,0.49970985661925466
CHEMBL231_Ki,43,molformer,xgboost,crem_mean,0.009242442925883072,0.11974513445997471,0.11235769102928007
CHEMBL231_Ki,43,morgan,mlp,crem_lime,0.05296245603169236,0.2305565869442197,0.25643072054348653
CHEMBL231_Ki,43,morgan,mlp,crem_mean,0.021207425194049095,0.19512440666236627,0.1750859136567839
CHEMBL231_Ki,43,morgan,xgboost,crem_lime,0.0549517209771249,0.08763310008753109,0.034031841079261035
CHEMBL231_Ki,43,morgan,xgboost,crem_mean,0.10408296672863127,0.04495401384331422,0.06498637310228349
CHEMBL231_Ki,43,unimol,mlp,crem_lime,0.09849260935525228,0.32484295191881224,0.4123034815896186
CHEMBL231_Ki,43,unimol,mlp,crem_mean,0.03734387396227716,0.057123219184525474,0.08447216357536741
CHEMBL231_Ki,43,unimol,xgboost,crem_lime,0.10661035600340521,0.28062281870221895,0.3798170462413114
CHEMBL231_Ki,43,unimol,xgboost,crem_mean,0.26215970363313473,0.1362656243115462,0.35632765689570794
CHEMBL231_Ki,44,molformer,mlp,crem_lime,0.07429865222453293,0.42713538762022524,0.3629893353992534
CHEMBL231_Ki,44,molformer,mlp,crem_mean,0.06631329962569234,0.27114886439150815,0.2587190233047423
CHEMBL231_Ki,44,molformer,xgboost,crem_lime,0.015026895780364327,0.0850194241368615,0.07396150870328581
CHEMBL231_Ki,44,molformer,xgboost,crem_mean,0.0041753628422943065,0.04800474468622642,0.04853740635352236
CHEMBL231_Ki,44,morgan,mlp,crem_lime,0.01182719802087927,0.19533720126953577,0.20709870081153092
CHEMBL231_Ki,44,morgan,mlp,crem_mean,0.05024765564066641,0.19489620822020115,0.21750149216092282
CHEMBL231_Ki,44,morgan,xgboost,crem_lime,0.11936349925336276,0.3325542805730258,0.36173239531794554
CHEMBL231_Ki,44,morgan,xgboost,crem_mean,0.010742758193319532,0.1745331379231708,0.16398735718469404
CHEMBL231_Ki,44,unimol,mlp,crem_lime,0.04060214711080314,0.09260064544546161,0.06676446000062335
CHEMBL231_Ki,44,unimol,mlp,crem_mean,0.00713782888114605,0.1479788188087471,0.14142155502663928
CHEMBL231_Ki,44,unimol,xgboost,crem_lime,0.024338997165486764,0.3108010549382548,0.3326969254505779
CHEMBL231_Ki,44,unimol,xgboost,crem_mean,0.03346014717861868,0.14265776989620174,0.15267095250895493
CHEMBL231_Ki,46,molformer,mlp,crem_lime,0.005975473214276994,0.23308607418901214,0.23587639025152957
CHEMBL231_Ki,46,molformer,mlp,crem_mean,0.00700205841077618,0.30530802631808607,0.30041112968270267
CHEMBL231_Ki,46,molformer,xgboost,crem_lime,0.026669145749329836,0.10282119113411935,0.1166340438974724
CHEMBL231_Ki,46,molformer,xgboost,crem_mean,0.011009694511554875,0.20554280670369413,0.20372002474330994
CHEMBL231_Ki,46,morgan,mlp,crem_lime,0.006287860332230553,0.2241874107771208,0.2304152594101445
CHEMBL231_Ki,46,morgan,mlp,crem_mean,0.013358347879804517,0.10689000734080899,0.10181402521036237
CHEMBL231_Ki,46,morgan,xgboost,crem_lime,0.01880479724526352,0.3331435706850922,0.34025755216054426
CHEMBL231_Ki,46,morgan,xgboost,crem_mean,0.004035691408596572,0.08866028690324439,0.09112373793943855
CHEMBL231_Ki,46,unimol,mlp,crem_lime,0.02300587270659685,0.0345857589744284,0.012275144564784152
CHEMBL231_Ki,46,unimol,mlp,crem_mean,0.01361696133654855,0.07594388502169824,0.0703387280668221
CHEMBL231_Ki,46,unimol,xgboost,crem_lime,0.01305468504748021,0.220459048799893,0.20753300345806863
CHEMBL231_Ki,46,unimol,xgboost,crem_mean,0.0029350919266996865,0.0796438629165628,0.07771347630706144
CHEMBL231_Ki,51,molformer,mlp,crem_lime,0.1460615858499224,0.46855842792236896,0.32690611396899144
CHEMBL231_Ki,51,molformer,mlp,crem_mean,0.1304429395470112,0.12515722118576095,0.010259241764966186
CHEMBL231_Ki,51,molformer,xgboost,crem_lime,0.12543867556595187,0.10464629042956818,0.1198391806852156
CHEMBL231_Ki,51,molformer,xgboost,crem_mean,0.12909114537329874,0.02346140445934917,0.1311791296938157
CHEMBL231_Ki,51,morgan,mlp,crem_lime,0.10646745854703554,0.4303496404517498,0.33707244925257057
CHEMBL231_Ki,51,morgan,mlp,crem_mean,0.007096916823269786,0.16581356743873726,0.16331077248273015
CHEMBL231_Ki,51,morgan,xgboost,crem_lime,0.14403879884794768,0.3000179008634068,0.3834071682461645
CHEMBL231_Ki,51,morgan,xgboost,crem_mean,0.1127316781746084,0.21121818126353264,0.3230120087922196
CHEMBL231_Ki,51,unimol,mlp,crem_lime,0.0165210630470848,0.04000769099095901,0.0523893500857684
CHEMBL231_Ki,51,unimol,mlp,crem_mean,0.019225664326319083,0.03833248180418592,0.019120422085638734
CHEMBL231_Ki,51,unimol,xgboost,crem_lime,0.0764606128512158,0.08357196715979874,0.056087744932445775
CHEMBL231_Ki,51,unimol,xgboost,crem_mean,0.06274273992390023,0.05214725902359014,0.0372097567289578
CHEMBL233_Ki,1,molformer,mlp,crem_lime,0.07032885863925314,0.10474846522863233,0.11276168859989834
CHEMBL233_Ki,1,molformer,mlp,crem_mean,0.05886686909863125,0.1697202310364919,0.2040465111242511
CHEMBL233_Ki,1,molformer,xgboost,crem_lime,0.24891618094516854,0.3096001407612302,0.08224163811386934
CHEMBL233_Ki,1,molformer,xgboost,crem_mean,0.21211053087955883,0.10155743459895378,0.2739080189083378
CHEMBL233_Ki,1,morgan,mlp,crem_lime,0.18285713100234893,0.06726451824506223,0.12625216024527813
CHEMBL233_Ki,1,morgan,mlp,crem_mean,0.13635541586840944,0.04477759513425399,0.1722715871598407
CHEMBL233_Ki,1,morgan,xgboost,crem_lime,0.12357503062938807,0.42433514545930917,0.43909305996887454
CHEMBL233_Ki,1,morgan,xgboost,crem_mean,0.06660692178174032,0.16444147601934955,0.2135730982994976
CHEMBL233_Ki,1,unimol,mlp,crem_lime,0.12303666260609913,0.18663161023064756,0.2366720484022189
CHEMBL233_Ki,1,unimol,mlp,crem_mean,0.14281346373893677,0.23894431558441198,0.12253412806444795
CHEMBL233_Ki,1,unimol,xgboost,crem_lime,0.048620900975454365,0.3850149584348413,0.4013141800688996
CHEMBL233_Ki,1,unimol,xgboost,crem_mean,0.009345123106725958,0.08418435171877772,0.07523888542472237
CHEMBL233_Ki,13,molformer,mlp,crem_lime,0.18530616726037064,0.4644815811329562,0.6328141570266556
CHEMBL233_Ki,13,molformer,mlp,crem_mean,0.027245961301796674,0.10000220572267594,0.11285228005959455
CHEMBL233_Ki,13,molformer,xgboost,crem_lime,0.10773639783822979,0.197276416942156,0.2945685300343037
CHEMBL233_Ki,13,molformer,xgboost,crem_mean,0.0274018282419852,0.03135828635869009,0.058669597869946306
CHEMBL233_Ki,13,morgan,mlp,crem_lime,0.036612374333757886,0.5932800658689292,0.5648643830461001
CHEMBL233_Ki,13,morgan,mlp,crem_mean,0.029283391764615904,0.11218793160127458,0.13236871585260135
CHEMBL233_Ki,13,morgan,xgboost,crem_lime,0.044746191041892744,0.3708415583839187,0.3655255112808971
CHEMBL233_Ki,13,morgan,xgboost,crem_mean,0.059855069283137774,0.021151145668715433,0.07329294185012536
CHEMBL233_Ki,13,unimol,mlp,crem_lime,0.18287826962274914,0.6474930311605142,0.5656249393470302
CHEMBL233_Ki,13,unimol,mlp,crem_mean,0.011990184515678006,0.11026484163998933,0.11278190275353628
CHEMBL233_Ki,13,unimol,xgboost,crem_lime,0.186966513144342,0.10713514515811398,0.2877043873985878
CHEMBL233_Ki,13,unimol,xgboost,crem_mean,0.005624599690838625,0.04339614785708908,0.041067338078691375
CHEMBL233_Ki,18,molformer,mlp,crem_lime,0.019389662821286187,0.013241089954302409,0.012907182377602472
CHEMBL233_Ki,18,molformer,mlp,crem_mean,0.2775179739490363,0.0006461366841504125,0.27695148237493034
CHEMBL233_Ki,18,molformer,xgboost,crem_lime,0.043488741700078146,0.1454443268300564,0.1826944217538246
CHEMBL233_Ki,18,molformer,xgboost,crem_mean,0.332048255082102,0.3178958098943853,0.5713396719923017
CHEMBL233_Ki,18,morgan,mlp,crem_lime,0.004764095864092913,0.012136346119671395,0.014898413753462129
CHEMBL233_Ki,18,morgan,mlp,crem_mean,0.1288818185849952,0.23619818240127635,0.27665877756725366
CHEMBL233_Ki,18,morgan,xgboost,crem_lime,0.057670773514393564,0.11333978846282042,0.12903965763555397
CHEMBL233_Ki,18,morgan,xgboost,crem_mean,0.0022893658092235174,0.4610096567270782,0.46032428891888955
CHEMBL233_Ki,18,unimol,mlp,crem_lime,0.02616060894770555,0.01728931787846432,0.03188866876168192
CHEMBL233_Ki,18,unimol,mlp,crem_mean,0.14648629927973827,0.23720275018838086,0.11988637867669727
CHEMBL233_Ki,18,unimol,xgboost,crem_lime,0.03769390084531327,0.01416266149217977,0.036165085423890374
CHEMBL233_Ki,18,unimol,xgboost,crem_mean,0.10826470861086784,0.10740978113440305,0.1957920971499661
CHEMBL233_Ki,24,molformer,mlp,crem_lime,0.14414229938523182,0.08577909057556053,0.08900916477870818
CHEMBL233_Ki,24,molformer,mlp,crem_mean,0.07042967965253799,0.11556424008802031,0.13758066726558238
CHEMBL233_Ki,24,molformer,xgboost,crem_lime,0.09792575706333423,0.17587402891681103,0.27157741929692564
CHEMBL233_Ki,24,molformer,xgboost,crem_mean,0.06637226929312394,0.20039645492131616,0.25696880009749773
CHEMBL233_Ki,24,morgan,mlp,crem_lime,0.07693721667326885,0.11649945421443712,0.1646305135737877
CHEMBL233_Ki,24,morgan,mlp,crem_mean,0.054247056665346925,0.0559322123573701,0.08505605420217896
CHEMBL233_Ki,24,morgan,xgboost,crem_lime,0.04090882848796373,0.08819310583854724,0.05205195939445247
CHEMBL233_Ki,24,morgan,xgboost,crem_mean,0.022660634748813684,0.08286847719482318,0.08487741062722946
CHEMBL233_Ki,24,unimol,mlp,crem_lime,0.02435671169410416,0.07930315560215444,0.07612831932415992
CHEMBL233_Ki,24,unimol,mlp,crem_mean,0.050126152606686694,0.043915036080635864,0.05391933461368227
CHEMBL233_Ki,24,unimol,xgboost,crem_lime,0.12459285072277096,0.2239473638656533,0.28170043336985856
CHEMBL233_Ki,24,unimol,xgboost,crem_mean,0.0904535641993288,0.08742400148305038,0.04961122785000625
CHEMBL233_Ki,31,molformer,mlp,crem_lime,0.011831964321088323,0.11602076798051231,0.11766808331032272
CHEMBL233_Ki,31,molformer,mlp,crem_mean,0.0027630901621698706,0.04949147177274213,0.04752225576151168
CHEMBL233_Ki,31,molformer,xgboost,crem_lime,0.035009152462914445,0.11405927298696418,0.13514478938561034
CHEMBL233_Ki,31,molformer,xgboost,crem_mean,0.08215300345559814,0.03530024196311619,0.10726746639941623
CHEMBL233_Ki,31,morgan,mlp,crem_lime,0.07087104391303098,0.15830834998981022,0.1559484658883445
CHEMBL233_Ki,31,morgan,mlp,crem_mean,0.007214370586731053,0.10753523144217093,0.10181914536706026
CHEMBL233_Ki,31,morgan,xgboost,crem_lime,0.0010150572589717412,0.04225551048582885,0.041367754638644
