dataset,component_id,left_index,right_index,representation,predictor,explainer,trained_ap,trained_nap,permuted_ap,permuted_nap,prevalence,delta_ap,delta_nap
CHEMBL237_EC50,57,631,638,molformer,mlp,crem_mean,0.33228625354259184,0.09116740065519442,0.4212374657105078,0.2122398838837467,0.2653061224489796,-0.08895121216791596,-0.12107248322855228
CHEMBL237_EC50,57,631,638,molformer,xgboost,crem_lime,0.23413773152244186,-0.04242364320556521,0.3287211459343306,0.08631489307728336,0.2653061224489796,-0.09458341441188875,-0.12873853628284856
CHEMBL237_EC50,57,631,638,molformer,xgboost,crem_mean,0.44889488642804287,0.24988470652705838,0.5298814910579616,0.36011647394000335,0.2653061224489796,-0.08098660462991869,-0.11023176741294496
CHEMBL237_EC50,57,631,638,morgan,mlp,crem_lime,0.45260460011540354,0.25493403904596584,0.2110138180875135,-0.07389785871421774,0.2653061224489796,0.24159078202789006,0.32883189776018357
CHEMBL237_EC50,57,631,638,morgan,mlp,crem_mean,0.7286686493583044,0.6306878838488035,0.6022401320957688,0.45860462424146303,0.2653061224489796,0.12642851726253568,0.17208325960734044
CHEMBL237_EC50,57,631,638,morgan,xgboost,crem_lime,0.23670013244717425,-0.038935930835790465,0.4238174108305684,0.21575147585271814,0.2653061224489796,-0.18711727838339415,-0.2546874066885086
CHEMBL237_EC50,57,631,638,morgan,xgboost,crem_mean,0.3508920559212323,0.11649196500389947,0.5331004848674022,0.3644978821806308,0.2653061224489796,-0.18220842894616995,-0.24800591717673132
CHEMBL237_EC50,57,631,638,unimol,mlp,crem_lime,0.2755330623080758,0.013920001474880928,0.19496151064552147,-0.09574683273248463,0.2653061224489796,0.08057155166255431,0.10966683420736556
CHEMBL237_EC50,57,631,638,unimol,mlp,crem_mean,0.8080691925893165,0.7387608454687918,0.5357138799074284,0.36805500320733303,0.2653061224489796,0.2723553126818882,0.3707058422614588
CHEMBL237_EC50,57,631,638,unimol,xgboost,crem_lime,0.2049938296338543,-0.08209173188725384,0.21764061813179522,-0.0648780475428342,0.2653061224489796,-0.01264678849794093,-0.01721368434441964
CHEMBL237_EC50,57,631,638,unimol,xgboost,crem_mean,0.5428183097559328,0.3777249216122418,0.6403791043989555,0.5105160032096895,0.2653061224489796,-0.0975607946430227,-0.13279108159744768
CHEMBL237_EC50,65,816,821,molformer,mlp,crem_lime,0.08910172687446537,-0.012109192361705101,0.1586774932343202,0.06519721470480024,0.10000000000000002,-0.06957576635985484,-0.07730640706650534
CHEMBL237_EC50,65,816,821,molformer,mlp,crem_mean,0.07265658116021541,-0.030381576488649434,0.2633459243654275,0.18149547151714165,0.10000000000000002,-0.19068934320521208,-0.2118770480057911
CHEMBL237_EC50,65,816,821,molformer,xgboost,crem_lime,0.08579265022001396,-0.0157859441999844,0.19027449991370002,0.1003049999041112,0.10000000000000002,-0.10448184969368605,-0.1160909441040956
CHEMBL237_EC50,65,816,821,molformer,xgboost,crem_mean,0.06738231796010576,-0.03624186893321573,0.10344478464346492,0.003827538492738899,0.10000000000000002,-0.03606246668335916,-0.04006940742595463
CHEMBL237_EC50,65,816,821,morgan,mlp,crem_lime,0.12825420567641718,0.031393561862685763,0.1998276262944363,0.11091958477159586,0.10000000000000002,-0.0715734206180191,-0.07952602290891009
CHEMBL237_EC50,65,816,821,morgan,mlp,crem_mean,0.11554624650551316,0.017273607228347965,0.1498677587830598,0.05540862087006643,0.10000000000000002,-0.03432151227754664,-0.038135013641718465
CHEMBL237_EC50,65,816,821,morgan,xgboost,crem_lime,0.10047513560468528,0.0005279284496503665,0.17708577070661732,0.08565085634068588,0.10000000000000002,-0.07661063510193204,-0.08512292789103551
CHEMBL237_EC50,65,816,821,morgan,xgboost,crem_mean,0.09209299327234773,-0.008785563030724667,0.1270942267533168,0.030104696392574303,0.10000000000000002,-0.03500123348096908,-0.03889025942329897
CHEMBL237_EC50,65,816,821,unimol,mlp,crem_lime,0.11128404418093013,0.012537826867700165,0.12381010051448156,0.026455667238312868,0.10000000000000002,-0.01252605633355143,-0.013917840370612703
CHEMBL237_EC50,65,816,821,unimol,mlp,crem_mean,0.11777221081890939,0.0197469009098994,0.10887959178022362,0.009866213089137434,0.10000000000000002,0.008892619038685767,0.009880687820761966
CHEMBL237_EC50,65,816,821,unimol,xgboost,crem_lime,0.12257949369277603,0.025088326325306765,0.13006685796340006,0.03340761995933336,0.10000000000000002,-0.007487364270624033,-0.008319293634026597
CHEMBL237_EC50,65,816,821,unimol,xgboost,crem_mean,0.11449379120450874,0.0161042124494542,0.09519394263153626,-0.005340063742737399,0.10000000000000002,0.019299848572972483,0.021444276192191598
CHEMBL237_Ki,10,108,1551,molformer,mlp,crem_lime,0.3082285120793185,0.12375611530047013,0.3811907952752251,0.21617500734861847,0.2105263157894736,-0.07296228319590659,-0.09241889204814834
CHEMBL237_Ki,10,108,1551,molformer,mlp,crem_mean,0.2828947368421052,0.09166666666666663,0.34539473684210514,0.1708333333333333,0.2105263157894736,-0.062499999999999944,-0.07916666666666668
CHEMBL237_Ki,10,108,1551,molformer,xgboost,crem_lime,0.24243546035782473,0.04041824978657806,0.37323624922521353,0.20609924901860385,0.2105263157894736,-0.1308007888673888,-0.16568099923202578
CHEMBL237_Ki,10,108,1551,molformer,xgboost,crem_mean,0.2828947368421052,0.09166666666666663,0.3315058479532163,0.1532407407407407,0.2105263157894736,-0.048611111111111105,-0.06157407407407407
CHEMBL237_Ki,10,108,1551,morgan,mlp,crem_lime,0.5225976022028652,0.39529029612362937,0.3233784356851245,0.14294601853449104,0.2105263157894736,0.19921916651774074,0.25234427758913835
CHEMBL237_Ki,10,108,1551,morgan,mlp,crem_mean,0.40789473684210514,0.25,0.2898391812865497,0.10046296296296293,0.2105263157894736,0.11805555555555547,0.14953703703703708
CHEMBL237_Ki,10,108,1551,morgan,xgboost,crem_lime,0.5439580789580789,0.4223469000135666,0.3082269718046089,0.123754164285838,0.2105263157894736,0.23573110715347,0.2985927357277286
