dataset,component_id,baseline,average_precision,prevalence,normalized_ap_lift
CHEMBL218_EC50,2,mask_membership_count,0.09513006654567453,0.07017543859649122,0.02683799609629148
CHEMBL218_EC50,2,valid_mutant_count,0.11536994660564454,0.07017543859649122,0.04860541427399507
CHEMBL218_EC50,2,local_supported_mutant_count,0.11536994660564454,0.07017543859649122,0.04860541427399507
CHEMBL218_EC50,2,absolute_in_domain_mutant_count,0.09758771929824561,0.07017543859649122,0.0294811320754717
CHEMBL218_EC50,2,local_support_fraction,0.09513006654567453,0.07017543859649122,0.02683799609629148
CHEMBL218_EC50,2,selected_mutant_count,0.09513006654567453,0.07017543859649122,0.02683799609629148
CHEMBL218_EC50,2,selected_mean_parent_tanimoto,0.11278195488721804,0.07017543859649122,0.04582210242587601
CHEMBL218_EC50,2,selected_mean_nearest_train_tanimoto,0.12416150670794635,0.07017543859649122,0.05806048834628192
CHEMBL218_EC50,2,inverse_mask_size,0.07852725683941654,0.07017543859649122,0.008982144148051754
CHEMBL218_EC50,3,support_any,0.2659810445654366,0.3103448275862069,-0.06432748538011696
CHEMBL218_EC50,3,mask_membership_count,0.2659810445654366,0.3103448275862069,-0.06432748538011696
CHEMBL218_EC50,3,valid_mutant_count,0.2727286828920223,0.3103448275862069,-0.05454340980656769
CHEMBL218_EC50,3,local_supported_mutant_count,0.29580560596894534,0.3103448275862069,-0.02108187134502927
CHEMBL218_EC50,3,absolute_in_domain_mutant_count,0.275767003716187,0.3103448275862069,-0.05013784461152885
CHEMBL218_EC50,3,local_support_fraction,0.29580560596894534,0.3103448275862069,-0.02108187134502927
CHEMBL218_EC50,3,selected_mutant_count,0.2727286828920223,0.3103448275862069,-0.05454340980656769
CHEMBL218_EC50,3,selected_mean_parent_tanimoto,0.4018180328695301,0.3103448275862069,0.13263614766081863
CHEMBL218_EC50,3,selected_mean_nearest_train_tanimoto,0.2735047659427575,0.3103448275862069,-0.053418089383001605
CHEMBL218_EC50,3,inverse_mask_size,0.41802782819116757,0.3103448275862069,0.15614035087719297
CHEMBL218_EC50,4,support_any,0.3142857142857143,0.2,0.14285714285714282
CHEMBL218_EC50,4,mask_membership_count,0.3142857142857143,0.2,0.14285714285714282
CHEMBL218_EC50,4,valid_mutant_count,0.3142857142857143,0.2,0.14285714285714282
CHEMBL218_EC50,4,local_supported_mutant_count,0.46579433638257167,0.2,0.3322429204782146
CHEMBL218_EC50,4,absolute_in_domain_mutant_count,0.3142857142857143,0.2,0.14285714285714282
CHEMBL218_EC50,4,local_support_fraction,0.46579433638257167,0.2,0.3322429204782146
CHEMBL218_EC50,4,selected_mutant_count,0.3782217782217782,0.2,0.22277722277722276
CHEMBL218_EC50,4,selected_mean_parent_tanimoto,0.25888210123484834,0.2,0.07360262654356041
CHEMBL218_EC50,4,selected_mean_nearest_train_tanimoto,0.25888210123484834,0.2,0.07360262654356041
CHEMBL218_EC50,4,inverse_mask_size,0.30150241914947795,0.2,0.1268780239368474
CHEMBL218_EC50,17,support_any,0.12121212121212122,0.07017543859649122,0.054888507718696404
CHEMBL218_EC50,17,mask_membership_count,0.12121212121212122,0.07017543859649122,0.054888507718696404
CHEMBL218_EC50,17,valid_mutant_count,0.10016835016835017,0.07017543859649122,0.032256527539546415
CHEMBL218_EC50,17,local_supported_mutant_count,0.14090909090909093,0.07017543859649122,0.07607204116638082
CHEMBL218_EC50,17,absolute_in_domain_mutant_count,0.10281385281385282,0.07017543859649122,0.03510169076206813
CHEMBL218_EC50,17,local_support_fraction,0.1611111111111111,0.07017543859649122,0.09779874213836476
CHEMBL218_EC50,17,selected_mutant_count,0.10281385281385282,0.07017543859649122,0.03510169076206813
CHEMBL218_EC50,17,selected_mean_parent_tanimoto,0.25,0.07017543859649122,0.19339622641509435
CHEMBL218_EC50,17,selected_mean_nearest_train_tanimoto,0.5227272727272727,0.07017543859649122,0.4867066895368782
CHEMBL218_EC50,17,inverse_mask_size,0.14090909090909093,0.07017543859649122,0.07607204116638082
CHEMBL218_EC50,27,support_any,0.39118699759432024,0.40350877192982454,-0.020657092268345438
CHEMBL218_EC50,27,mask_membership_count,0.39118699759432024,0.40350877192982454,-0.020657092268345438
CHEMBL218_EC50,27,valid_mutant_count,0.38554140934003633,0.40350877192982454,-0.030121754929939046
CHEMBL218_EC50,27,local_supported_mutant_count,0.34427298271691864,0.40350877192982454,-0.09930705838634223
CHEMBL218_EC50,27,absolute_in_domain_mutant_count,0.35298111499484497,0.40350877192982454,-0.08470813074393632
CHEMBL218_EC50,27,local_support_fraction,0.35483393666659013,0.40350877192982454,-0.08160192970601061
CHEMBL218_EC50,27,selected_mutant_count,0.3478326064138421,0.40350877192982454,-0.09333945395326464
CHEMBL218_EC50,27,selected_mean_parent_tanimoto,0.5183880999872386,0.40350877192982454,0.1925918146844882
CHEMBL218_EC50,27,selected_mean_nearest_train_tanimoto,0.40311908724380124,0.40350877192982454,-0.0006532949148037591
CHEMBL218_EC50,27,inverse_mask_size,0.5371762740183793,0.40350877192982454,0.2240896358543418
