draw,estimate
547,-0.014312423687423692
548,-0.017982538819129867
549,-0.012856701191724551
550,-0.010259680021013283
551,-0.013267839768359643
552,-0.009669054083062276
553,-0.011010482599604854
554,-0.0043004754888574526
555,-0.008694398228672094
556,-0.010273812414452452
557,-0.013081065403306665
558,-0.014312423687423692
559,-0.012117187463019253
560,-0.0024032754401343646
561,-0.013288613835720605
562,-0.008495646109427001
563,-0.010028502082019965
564,-0.013686781799235702
565,-0.012388223365924954
566,-0.013500786336263268
567,-0.012087867880865952
568,-0.013201206433584911
569,-0.008211783214677141
570,-0.014401715385717065
571,-0.012813994674139573
572,-0.011270816379911617
573,-0.011732348531462905
574,-0.015327973372181534
575,-0.01283067013626495
576,-0.008441653594037951
577,-0.013809959849640507
578,-0.013917840370612703
579,-0.012288747907724495
580,-0.01826100164594288
581,-0.011834123763447932
582,-0.012985380310206261
583,-0.009759512721544534
584,-0.011504817444219032
585,-0.006458173359316668
586,-0.012383359711811101
587,-0.007600424540882982
588,-0.015231681898348566
589,-0.012947249031381678
590,-0.012408853872014047
591,-0.01193759695688797
592,-0.012415087367432812
593,-0.01031670632017001
594,-0.012790859881722284
595,-0.013154649229379057
596,-0.013834140825140694
597,-0.01721368434441964
598,-0.01094507344507337
599,-0.012507320636008679
600,-0.018351070131656516
601,-0.017677918498422693
602,-0.010966920799493117
603,-0.010706593481035587
604,-0.010655137123018719
605,-0.012498840038221992
606,-0.007953044739701126
607,-0.011758895241002564
608,-0.013510379167540557
609,-0.007172328034258572
610,-0.008966075098778059
611,-0.00900912860123072
612,-0.003830321912413271
613,-0.014253271621942273
614,-0.0008011664261663998
615,-0.014567223562466772
616,-0.0019340091854845995
617,-0.009360269360269336
618,-0.012415087367432812
619,-0.0074480958298799495
620,-0.01906930094240296
621,-0.012806743210450881
622,-0.01977014287678684
623,-0.01607551936022271
624,-0.018347139820802938
625,-0.006398199410025833
626,-0.00811464402818606
627,-0.0109220354160324
628,-0.004933417071619149
629,-0.012994776130454322
630,-0.013826829703995014
631,-0.01594508618746953
632,-0.009759512721544534
633,-0.00900912860123072
634,-0.010316534555425805
635,-0.010931933730289266
636,-0.015678631552413606
637,-0.018536205726105065
638,-0.013627731999885002
639,-0.01620584886710677
640,-0.014065306229472168
641,-0.015902347674810833
642,-0.014115132029018197
643,-0.007523488486344425
644,-0.01440383522513048
645,-0.008823910800923368
646,-0.011758895241002564
647,-0.015763054015921665
648,-0.012949921924611037
649,0.0
650,-0.004357030672268489
651,-0.011970777202813193
652,-0.01344307876118988
653,-0.015081653838414536
654,-0.008065776355404102
655,-0.007230856136866219
656,-0.01678506962507921
657,-0.017770362426542858
658,-0.017446457772832512
659,-0.012383359711811101
660,-0.011910862149242335
661,-0.013777325576709836
662,-0.010678830571282348
663,-0.014274330635093646
664,-0.01230807158447814
665,-0.012087867880865952
666,-0.01938661170107042
667,-0.011010482599604854
668,-0.018245996270201188
669,-0.013864531267147748
670,-0.009553267524394785
671,-0.012873029414617798
672,-0.013201206433584911
673,-0.0115340857071384
674,-0.014976211075721124
675,-0.003800038115973025
676,-0.01195771169036947
677,-0.011641104435990878
