representation,predictor,explainer,control,seed,row_id,dataset,predictive_test_r2,average_precision,prevalence,normalized_ap_lift,supported_atom_fraction,rationale_supported_fraction,mean_randomized_nap,randomized_nap_sd,randomization_replicates,randomization_calibrated_nap
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:76,CHEMBL234_Ki,0.975134853316404,0.1797619047619047,0.1304347826086956,0.0567261904761904,0.7391304347826086,1.0,0.13314814814814815,0.23061935752630053,3,-0.07642195767195775
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:81,CHEMBL234_Ki,0.975134853316404,0.1428571428571428,0.0833333333333333,0.0649350649350649,0.75,1.0,0.2636363636363636,0.28357225382694945,3,-0.1987012987012987
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:105,CHEMBL234_Ki,0.975134853316404,1.0,0.0454545454545454,1.0,1.0,1.0,0.07142857142857142,0.12371791482634836,3,0.9285714285714286
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:259,CHEMBL234_Ki,0.975134853316404,1.0,0.0555555555555555,1.0,0.4444444444444444,1.0,0.05098039215686275,0.08830062940547218,3,0.9490196078431372
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:269,CHEMBL234_Ki,0.975134853316404,1.0,0.0526315789473684,1.0,0.4736842105263157,1.0,0.04012345679012345,0.06949586573578828,3,0.9598765432098766
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:296,CHEMBL234_Ki,0.975134853316404,1.0,0.0434782608695652,1.0,0.3478260869565217,1.0,0.028409090909090908,0.049205988851388556,3,0.9715909090909091
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:536,CHEMBL234_Ki,0.975134853316404,0.1318082788671024,0.081081081081081,0.0552031270024349,0.7297297297297297,1.0,0.009254471019176905,0.016029214002388128,3,0.045948655983257994
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:563,CHEMBL234_Ki,0.975134853316404,0.5074074074074074,0.081081081081081,0.4639433551198257,0.7297297297297297,1.0,0.05092592592592592,0.08820629112619281,3,0.4130174291938998
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:570,CHEMBL234_Ki,0.975134853316404,1.0,0.0434782608695652,1.0,0.3478260869565217,1.0,0.1590909090909091,0.27555353756777595,3,0.8409090909090909
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:588,CHEMBL234_Ki,0.975134853316404,0.1051282051282051,0.0769230769230769,0.0305555555555555,0.7692307692307693,1.0,0.17857142857142858,0.30929478706587094,3,-0.14801587301587307
