dataset,row_id,representation,predictor,seed,label_permuted,trained,trained_minus_permuted_r2
CHEMBL1862_Ki,CHEMBL1862_Ki:126,molformer,mlp,11,0.9499507174142942,0.9495342395484938,-0.0004164778658003465
CHEMBL1862_Ki,CHEMBL1862_Ki:126,molformer,mlp,23,0.944652332419896,0.950376198490081,0.005723866070185046
CHEMBL1862_Ki,CHEMBL1862_Ki:126,molformer,mlp,42,0.9386756686089396,0.9437693498836212,0.005093681274681572
CHEMBL1862_Ki,CHEMBL1862_Ki:126,molformer,xgboost,11,0.9525985251984008,0.926597955144969,-0.026000570053431815
CHEMBL1862_Ki,CHEMBL1862_Ki:126,molformer,xgboost,23,0.920077511811993,0.9228390690483496,0.0027615572363565155
CHEMBL1862_Ki,CHEMBL1862_Ki:126,molformer,xgboost,42,0.946649225330176,0.90945635676083,-0.037192868569346005
CHEMBL1862_Ki,CHEMBL1862_Ki:126,morgan,mlp,11,0.9290487703399902,0.924271455758154,-0.004777314581836278
CHEMBL1862_Ki,CHEMBL1862_Ki:126,morgan,mlp,23,0.9419943378579472,0.9628401923898328,0.020845854531885588
CHEMBL1862_Ki,CHEMBL1862_Ki:126,morgan,mlp,42,0.972741047861286,0.9577739945357902,-0.01496705332549586
CHEMBL1862_Ki,CHEMBL1862_Ki:126,morgan,xgboost,11,0.9490898628887356,0.9712543330025316,0.022164470113795964
CHEMBL1862_Ki,CHEMBL1862_Ki:126,morgan,xgboost,23,0.9412113162005216,0.9700260378315778,0.02881472163105625
CHEMBL1862_Ki,CHEMBL1862_Ki:126,morgan,xgboost,42,0.9698287764664918,0.9692095431853904,-0.0006192332811013612
CHEMBL1862_Ki,CHEMBL1862_Ki:126,unimol,mlp,11,0.9393120515604044,0.9247750809608274,-0.014536970599577037
CHEMBL1862_Ki,CHEMBL1862_Ki:126,unimol,mlp,23,0.9192814584777552,0.9150441717623108,-0.004237286715444433
CHEMBL1862_Ki,CHEMBL1862_Ki:126,unimol,mlp,42,0.9424279331034222,0.9250895736691512,-0.017338359434270978
CHEMBL1862_Ki,CHEMBL1862_Ki:126,unimol,xgboost,11,0.9316737594459088,0.8850851899790334,-0.046588569466875396
CHEMBL1862_Ki,CHEMBL1862_Ki:126,unimol,xgboost,23,0.9378104820718812,0.8924604462336481,-0.04535003583823316
CHEMBL1862_Ki,CHEMBL1862_Ki:126,unimol,xgboost,42,0.9516735658689528,0.8982670155732502,-0.053406550295702626
CHEMBL1862_Ki,CHEMBL1862_Ki:135,molformer,mlp,11,0.9548571641047388,0.9498307038044153,-0.005026460300323499
CHEMBL1862_Ki,CHEMBL1862_Ki:135,molformer,mlp,23,0.9401420354962332,0.9388623264817816,-0.0012797090144516243
CHEMBL1862_Ki,CHEMBL1862_Ki:135,molformer,mlp,42,0.9261294234275584,0.9347964434969112,0.008667020069352716
CHEMBL1862_Ki,CHEMBL1862_Ki:135,molformer,xgboost,11,0.9411774913829004,0.9436525805203464,0.002475089137445985
CHEMBL1862_Ki,CHEMBL1862_Ki:135,molformer,xgboost,23,0.9313005872707792,0.9505540769205278,0.0192534896497486
CHEMBL1862_Ki,CHEMBL1862_Ki:135,molformer,xgboost,42,0.944275690663786,0.9485809615998336,0.0043052709360476005
CHEMBL1862_Ki,CHEMBL1862_Ki:135,morgan,mlp,11,0.9270164480148974,0.9467605418174764,0.01974409380257902
CHEMBL1862_Ki,CHEMBL1862_Ki:135,morgan,mlp,23,0.9403624936446592,0.9586344841648784,0.018271990520219217
CHEMBL1862_Ki,CHEMBL1862_Ki:135,morgan,mlp,42,0.9462963135118028,0.958582894460046,0.012286580948243198
CHEMBL1862_Ki,CHEMBL1862_Ki:135,morgan,xgboost,11,0.0,0.9646207443087308,0.9646207443087308
