dataset,component_id,representation,predictor,explainer,seed,label_permuted,trained,matched_seed_delta
CHEMBL1862_Ki,9,morgan,xgboost,crem_mean,11,0.1699561403508771,0.0438871151181332,-0.1260690252327439
CHEMBL1862_Ki,9,morgan,xgboost,crem_mean,23,0.193074157134773,0.0309503967532379,-0.1621237603815351
CHEMBL1862_Ki,9,morgan,xgboost,crem_mean,42,0.1742481203007518,0.1001233357018961,-0.07412478459885569
CHEMBL1862_Ki,9,unimol,mlp,crem_lime,11,-0.0036805137584494,0.2373104747902591,0.2409909885487085
CHEMBL1862_Ki,9,unimol,mlp,crem_lime,23,0.3552873004382582,0.0722334865148943,-0.2830538139233639
CHEMBL1862_Ki,9,unimol,mlp,crem_lime,42,0.427832051333901,0.0595822519788389,-0.3682497993550621
CHEMBL1862_Ki,9,unimol,mlp,crem_mean,11,0.1585245324433852,0.1086629353244434,-0.04986159711894181
CHEMBL1862_Ki,9,unimol,mlp,crem_mean,23,0.2479271586762191,0.0533235429599341,-0.19460361571628498
CHEMBL1862_Ki,9,unimol,mlp,crem_mean,42,0.4202154153840645,0.0824914018784855,-0.337724013505579
CHEMBL1862_Ki,9,unimol,xgboost,crem_lime,11,0.0551251322827868,0.0985239619538664,0.043398829671079595
CHEMBL1862_Ki,9,unimol,xgboost,crem_lime,23,0.2858004345495021,0.4478035481661917,0.16200311361668962
CHEMBL1862_Ki,9,unimol,xgboost,crem_lime,42,-0.0707290491301353,0.1384912755167835,0.2092203246469188
CHEMBL1862_Ki,9,unimol,xgboost,crem_mean,11,0.2765169612210894,0.2456784456458564,-0.030838515575232983
CHEMBL1862_Ki,9,unimol,xgboost,crem_mean,23,0.2811781147445966,0.3862124677775743,0.1050343530329777
CHEMBL1862_Ki,9,unimol,xgboost,crem_mean,42,0.1471826678782899,0.4557981738040422,0.30861550592575226
CHEMBL1862_Ki,10,molformer,mlp,crem_lime,11,0.0374799189936637,-0.079184350909417,-0.11666426990308071
CHEMBL1862_Ki,10,molformer,mlp,crem_lime,23,-0.101783881040805,-0.0220714355347412,0.07971244550606381
