dataset,component_id,representation,predictor,explainer,label_permuted,trained,delta_sanity
CHEMBL238_Ki,55,molformer,xgboost,crem_lime,0.09145058397560597,0.3566399193783123,0.26518933540270634
CHEMBL238_Ki,55,molformer,xgboost,crem_mean,0.27662523990275184,0.38882285565952973,0.11219761575677789
CHEMBL238_Ki,55,morgan,mlp,crem_lime,0.3802037957386406,0.17242633843094526,-0.20777745730769534
CHEMBL238_Ki,55,morgan,mlp,crem_mean,0.4348187312812278,0.3896796886106097,-0.04513904267061808
CHEMBL238_Ki,55,morgan,xgboost,crem_lime,0.18668430064471683,0.5172469510027999,0.3305626503580831
CHEMBL238_Ki,55,morgan,xgboost,crem_mean,0.05521547318422317,0.48800607287449393,0.4327905996902708
CHEMBL238_Ki,55,unimol,mlp,crem_lime,0.3411490375776333,0.13556970858582498,-0.20557932899180834
CHEMBL238_Ki,55,unimol,mlp,crem_mean,0.3524563532338652,0.3012059496573024,-0.0512504035765628
CHEMBL238_Ki,55,unimol,xgboost,crem_lime,0.44689002986117315,0.07708324964841,-0.36980678021276314
CHEMBL238_Ki,55,unimol,xgboost,crem_mean,0.2796982404440011,0.18173592025156718,-0.09796232019243392
CHEMBL238_Ki,58,molformer,mlp,crem_lime,0.1265924479813953,0.12773923037080928,0.0011467823894139861
CHEMBL238_Ki,58,molformer,mlp,crem_mean,0.20227723820598956,0.3034402374407973,0.10116299923480773
CHEMBL238_Ki,58,molformer,xgboost,crem_lime,0.016501563327817735,0.04623495669113151,0.029733393363313772
CHEMBL238_Ki,58,molformer,xgboost,crem_mean,0.1857860520094562,0.13575227963525827,-0.05003377237419793
CHEMBL238_Ki,58,morgan,mlp,crem_lime,0.012661849005422601,0.039050989807804436,0.026389140802381833
CHEMBL238_Ki,58,morgan,mlp,crem_mean,0.0435896256598944,0.0341134751773049,-0.009476150482589506
CHEMBL238_Ki,58,morgan,xgboost,crem_lime,-0.006637784344024966,0.0449334674270771,0.05157125177110207
CHEMBL238_Ki,58,morgan,xgboost,crem_mean,0.0,0.06634323123684824,0.06634323123684824
CHEMBL238_Ki,58,unimol,mlp,crem_lime,-0.019782493047161967,0.0047761640230456,0.024558657070207567
CHEMBL238_Ki,58,unimol,mlp,crem_mean,0.011059965448263267,0.011251069004586533,0.00019110355632326673
CHEMBL238_Ki,58,unimol,xgboost,crem_lime,0.0106949580485319,-0.0226856238626599,-0.0333805819111918
CHEMBL238_Ki,58,unimol,xgboost,crem_mean,0.18528990917008833,-0.003482500039050967,-0.1887724092091393
CHEMBL238_Ki,63,molformer,mlp,crem_lime,0.4551553357359371,0.7181917614888631,0.263036425752926
CHEMBL238_Ki,63,molformer,mlp,crem_mean,0.2222374303334056,0.48251988141049046,0.26028245107708486
CHEMBL238_Ki,63,molformer,xgboost,crem_lime,0.13767212746023524,0.7267566226453009,0.5890844951850657
CHEMBL238_Ki,63,molformer,xgboost,crem_mean,0.1402622174313351,0.3950893828611221,0.254827165429787
CHEMBL238_Ki,63,morgan,mlp,crem_lime,0.001979466522828134,0.1559707173966511,0.15399125087382298
CHEMBL238_Ki,63,morgan,mlp,crem_mean,0.175191764796411,0.30011034298315,0.12491857818673899
CHEMBL238_Ki,63,morgan,xgboost,crem_lime,0.5419343401799542,0.08106429197607473,-0.4608700482038795
CHEMBL238_Ki,63,morgan,xgboost,crem_mean,0.2495033495033495,0.21341148740150961,-0.03609186210183987
CHEMBL238_Ki,63,unimol,mlp,crem_lime,0.5940980076060721,0.32844991688011066,-0.26564809072596146
CHEMBL238_Ki,63,unimol,mlp,crem_mean,0.22300771925771914,0.15931443789233643,-0.06369328136538271
CHEMBL238_Ki,63,unimol,xgboost,crem_lime,0.03609039982616787,0.14781614522220962,0.11172574539604174
CHEMBL238_Ki,63,unimol,xgboost,crem_mean,0.16256138551030186,0.09279792544498426,-0.0697634600653176
CHEMBL238_Ki,64,molformer,mlp,crem_lime,0.10560601977875313,0.015205960004057566,-0.09040005977469556
CHEMBL238_Ki,64,molformer,mlp,crem_mean,0.08418791574279373,0.24999999999999992,0.16581208425720617
CHEMBL238_Ki,64,molformer,xgboost,crem_lime,0.11464364139598222,0.12851097073658044,0.013867329340598214
CHEMBL238_Ki,64,molformer,xgboost,crem_mean,0.20276096905617505,0.017919399542612333,-0.18484156951356273
CHEMBL238_Ki,64,morgan,mlp,crem_lime,0.30043885496239436,-0.025511684129547203,-0.32595053909194155
CHEMBL238_Ki,64,morgan,mlp,crem_mean,0.3044199807761624,0.0019041422368521665,-0.30251583853931024
CHEMBL238_Ki,64,morgan,xgboost,crem_lime,0.0009005105725038333,-0.0045533686396601,-0.005453879212163934
CHEMBL238_Ki,64,morgan,xgboost,crem_mean,0.022357723577235766,0.0181894722456758,-0.004168251331559965
CHEMBL238_Ki,64,unimol,mlp,crem_lime,-0.005077664524992966,0.0663784479014776,0.07145611242647056
CHEMBL238_Ki,64,unimol,mlp,crem_mean,0.038654181184669,0.017458990285077202,-0.021195190899591796
CHEMBL238_Ki,64,unimol,xgboost,crem_lime,0.005005063934781534,-0.01621325828642897,-0.021218322221210503
CHEMBL238_Ki,64,unimol,xgboost,crem_mean,0.10979025756644119,0.034533794756176364,-0.07525646281026482
CHEMBL238_Ki,70,molformer,mlp,crem_lime,0.0,0.0,0.0
CHEMBL238_Ki,70,molformer,mlp,crem_mean,0.0,0.0,0.0
CHEMBL238_Ki,70,molformer,xgboost,crem_lime,0.0,0.0,0.0
CHEMBL238_Ki,70,molformer,xgboost,crem_mean,0.0,0.0,0.0
CHEMBL238_Ki,70,morgan,mlp,crem_lime,0.0,0.0,0.0
CHEMBL238_Ki,70,morgan,mlp,crem_mean,0.0,0.0,0.0
CHEMBL238_Ki,70,morgan,xgboost,crem_lime,0.0,0.0,0.0
CHEMBL238_Ki,70,morgan,xgboost,crem_mean,0.0,0.0,0.0
CHEMBL238_Ki,70,unimol,mlp,crem_lime,0.0,0.0,0.0
CHEMBL238_Ki,70,unimol,mlp,crem_mean,0.0,0.0,0.0
CHEMBL238_Ki,70,unimol,xgboost,crem_lime,0.0,0.0,0.0
CHEMBL238_Ki,70,unimol,xgboost,crem_mean,0.0,0.0,0.0
CHEMBL239_EC50,1,molformer,mlp,crem_lime,0.0803191480980524,0.5472467673183016,0.46692761922024917
CHEMBL239_EC50,1,molformer,mlp,crem_mean,-0.0014462216792288003,0.1275205807238313,0.1289668024030601
CHEMBL239_EC50,1,molformer,xgboost,crem_lime,0.06529036981140252,0.17659134575576108,0.11130097594435856
CHEMBL239_EC50,1,molformer,xgboost,crem_mean,0.21802564968036342,0.1014058962699758,-0.11661975341038762
CHEMBL239_EC50,1,morgan,mlp,crem_lime,0.06629683421799219,0.8218634773646301,0.7555666431466379
CHEMBL239_EC50,1,morgan,mlp,crem_mean,0.0900876060224222,0.3785249078893562,0.288437301866934
CHEMBL239_EC50,1,morgan,xgboost,crem_lime,0.05881720205366586,0.6488321333252159,0.5900149312715501
CHEMBL239_EC50,1,morgan,xgboost,crem_mean,0.18843170701293352,0.20915553408813078,0.020723827075197265
CHEMBL239_EC50,1,unimol,mlp,crem_lime,0.41871666279809744,0.30793721127918133,-0.1107794515189161
CHEMBL239_EC50,1,unimol,mlp,crem_mean,0.19686060252533796,0.21429591913795298,0.01743531661261502
CHEMBL239_EC50,1,unimol,xgboost,crem_lime,0.3374971806738898,0.6462124489881601,0.3087152683142703
CHEMBL239_EC50,1,unimol,xgboost,crem_mean,-0.018241025626739165,0.25156845856570315,0.26980948419244233
CHEMBL239_EC50,2,molformer,mlp,crem_lime,0.30903657698354686,0.04952868095753996,-0.2595078960260069
CHEMBL239_EC50,2,molformer,mlp,crem_mean,0.213539884553011,0.25727308928337383,0.043733204730362824
CHEMBL239_EC50,2,molformer,xgboost,crem_lime,-0.16225843106020274,-0.08992318160580463,0.0723352494543981
CHEMBL239_EC50,2,molformer,xgboost,crem_mean,-0.09239737392647285,0.0131281996232152,0.10552557354968804
CHEMBL239_EC50,2,morgan,mlp,crem_lime,-0.12926865118571246,0.2932660027245544,0.42253465391026684
CHEMBL239_EC50,2,morgan,mlp,crem_mean,0.1363535718764977,0.12023497972396797,-0.016118592152529712
CHEMBL239_EC50,2,morgan,xgboost,crem_lime,-0.08416462607638042,0.1718778788521659,0.2560425049285463
CHEMBL239_EC50,2,morgan,xgboost,crem_mean,0.028771547187120865,0.12534460230011596,0.09657305511299509
CHEMBL239_EC50,2,unimol,mlp,crem_lime,0.399913764516678,0.3391278059727532,-0.06078595854392477
CHEMBL239_EC50,2,unimol,mlp,crem_mean,0.3406637583986112,0.42464921396871164,0.08398545557010045
CHEMBL239_EC50,2,unimol,xgboost,crem_lime,0.2467085430092979,0.005782218414177036,-0.24092632459512087
CHEMBL239_EC50,2,unimol,xgboost,crem_mean,0.22884809945610085,0.1454520305145213,-0.08339606894157955
CHEMBL239_EC50,7,molformer,mlp,crem_lime,0.17140780841411085,-0.012235330071035333,-0.18364313848514618
CHEMBL239_EC50,7,molformer,mlp,crem_mean,0.042664841006947264,-0.004706204291659,-0.047371045298606265
CHEMBL239_EC50,7,molformer,xgboost,crem_lime,0.10753917081113556,0.048971124776667034,-0.05856804603446853
CHEMBL239_EC50,7,molformer,xgboost,crem_mean,0.0123748062816458,0.003550895480722433,-0.008823910800923368
CHEMBL239_EC50,7,morgan,mlp,crem_lime,0.33459679728062075,0.07711953992227367,-0.2574772573583471
CHEMBL239_EC50,7,morgan,mlp,crem_mean,0.1081497462140309,0.006992920755406901,-0.10115682545862399
CHEMBL239_EC50,7,morgan,xgboost,crem_lime,0.04092790006519653,0.04447786589362703,0.0035499658284305
CHEMBL239_EC50,7,morgan,xgboost,crem_mean,0.028709036061977205,-0.010598828931338067,-0.039307864993315275
CHEMBL239_EC50,7,unimol,mlp,crem_lime,0.11430144175874728,0.39328297116642846,0.2789815294076812
CHEMBL239_EC50,7,unimol,mlp,crem_mean,0.09177923846565884,0.10121861986259893,0.009439381396940089
CHEMBL239_EC50,7,unimol,xgboost,crem_lime,0.1000908307019258,0.2590962341924339,0.15900540349050807
CHEMBL239_EC50,7,unimol,xgboost,crem_mean,0.005862473447877167,0.0013757412682772995,-0.004486732179599867
CHEMBL239_EC50,14,molformer,mlp,crem_lime,-0.0401141460017371,-0.0614082683103425,-0.021294122308605397
CHEMBL239_EC50,14,molformer,mlp,crem_mean,0.06074943945649377,0.0031465706798747997,-0.05760286877661897
CHEMBL239_EC50,14,molformer,xgboost,crem_lime,0.2121379806149192,-0.05218665735962397,-0.2643246379745432
CHEMBL239_EC50,14,molformer,xgboost,crem_mean,0.16460657969347928,0.05057122383268906,-0.11403535586079022
CHEMBL239_EC50,14,morgan,mlp,crem_lime,0.072145221343311,0.028650060579983733,-0.04349516076332727
CHEMBL239_EC50,14,morgan,mlp,crem_mean,0.02310816093052223,-0.018651603964698133,-0.04175976489522036
CHEMBL239_EC50,14,morgan,xgboost,crem_lime,0.1661270725625044,-0.050733472023358706,-0.2168605445858631
CHEMBL239_EC50,14,morgan,xgboost,crem_mean,0.08917508627143762,-0.0395647107631076,-0.12873979703454522
CHEMBL239_EC50,14,unimol,mlp,crem_lime,0.08967403558346039,0.2107671864212006,0.12109315083774021
CHEMBL239_EC50,14,unimol,mlp,crem_mean,0.1425143730008239,0.052139719021821435,-0.09037465397900246
CHEMBL239_EC50,14,unimol,xgboost,crem_lime,0.09458089392584616,0.28923181906199624,0.19465092513615007
CHEMBL239_EC50,14,unimol,xgboost,crem_mean,0.03433936305857083,0.20403974014010462,0.1697003770815338
CHEMBL239_EC50,16,molformer,mlp,crem_lime,0.07395182335480543,-0.1675850373007759,-0.24153686065558133
CHEMBL239_EC50,16,molformer,mlp,crem_mean,-0.0454226817803648,-0.05892346811662807,-0.013500786336263268
CHEMBL239_EC50,16,molformer,xgboost,crem_lime,0.28101461743881734,-0.12273103470204956,-0.4037456521408669
CHEMBL239_EC50,16,molformer,xgboost,crem_mean,-0.02242707728001847,-0.049812749948464206,-0.027385672668445736
CHEMBL239_EC50,16,morgan,mlp,crem_lime,0.3839525049366679,0.2659528833008998,-0.1179996216357681
CHEMBL239_EC50,16,morgan,mlp,crem_mean,-0.014268626652940467,-0.02491115233972373,-0.010642525686783264
CHEMBL239_EC50,16,morgan,xgboost,crem_lime,0.05293567179305003,0.10689694002341472,0.05396126823036469
CHEMBL239_EC50,16,morgan,xgboost,crem_mean,0.014716690716690703,-0.0022922059784805334,-0.017008896695171236
