dataset,representation,predictor,explainer,median_delta,ci_low,ci_high,components,equivalent
CHEMBL2034_Ki,molformer,xgboost,crem_mean,0.015934987633650637,-0.04786671216194779,0.071347005968287,12,False
CHEMBL2034_Ki,morgan,mlp,crem_lime,0.015000715571797382,-0.2171332582327867,0.08574807014707844,12,False
CHEMBL2034_Ki,morgan,mlp,crem_mean,0.03860165366487992,-0.026273432063425316,0.127886260447427,12,False
CHEMBL2034_Ki,morgan,xgboost,crem_lime,-0.06999044663647762,-0.19902632584138807,0.12297141345826865,12,False
CHEMBL2034_Ki,morgan,xgboost,crem_mean,-0.00265628795040554,-0.07458315323792636,0.037699454338708666,12,False
CHEMBL2034_Ki,unimol,mlp,crem_lime,-0.18341440919234214,-0.2778754415389163,-0.07290052793271098,12,False
CHEMBL2034_Ki,unimol,mlp,crem_mean,-0.0512947163515345,-0.09882472767037712,0.012205747711200324,12,False
CHEMBL2034_Ki,unimol,xgboost,crem_lime,-0.03295171277757958,-0.20209019008641022,0.003196069115684458,12,False
CHEMBL2034_Ki,unimol,xgboost,crem_mean,-0.03487593279385362,-0.051410371246245874,0.030713952247565672,12,False
CHEMBL2047_EC50,molformer,mlp,crem_lime,0.012618205902346108,-0.11628828553606341,0.09154287966276403,10,False
CHEMBL2047_EC50,molformer,mlp,crem_mean,-0.02731698331051107,-0.1284953212285025,0.024817082524635978,10,False
CHEMBL2047_EC50,molformer,xgboost,crem_lime,-0.017864242726976606,-0.09154506664248069,0.0666226425524086,10,False
CHEMBL2047_EC50,molformer,xgboost,crem_mean,-0.030754631028245702,-0.0734835146230512,0.018749939211583366,10,False
CHEMBL2047_EC50,morgan,mlp,crem_lime,-0.053853234812402555,-0.22033272333057594,0.2354634986730473,10,False
CHEMBL2047_EC50,morgan,mlp,crem_mean,0.009489146187484788,-0.03194857669824304,0.16303822695658632,10,False
CHEMBL2047_EC50,morgan,xgboost,crem_lime,-0.04689310504354781,-0.1111607406938323,0.01655857054240423,10,False
CHEMBL2047_EC50,morgan,xgboost,crem_mean,-0.011782792611476918,-0.10948535726364722,0.06252013292110063,10,False
CHEMBL2047_EC50,unimol,mlp,crem_lime,-0.07097981486633227,-0.14827570081330288,0.06927594988174787,10,False
CHEMBL2047_EC50,unimol,mlp,crem_mean,-0.015370627240632467,-0.05776814297275409,0.07094910738128465,10,False
