dataset,representation,predictor,components,median_delta_nap,median_delta_null_adjusted_nap,configuration
CHEMBL238_Ki,morgan,mlp,19,-0.0118341237634479,-0.0018170900492982,Morgan · MLP
CHEMBL238_Ki,morgan,xgboost,19,-0.008521127205708,-0.0307632795567006,Morgan · XGB
CHEMBL238_Ki,unimol,mlp,19,0.0339935397948513,0.0360243442296824,Uni-Mol · MLP
CHEMBL238_Ki,unimol,xgboost,19,-0.0359333871524807,-0.0443748647731796,Uni-Mol · XGB
CHEMBL239_EC50,molformer,mlp,33,0.0122113124356411,0.0173050924309113,MoLFormer · MLP
CHEMBL239_EC50,molformer,xgboost,33,-0.0273856726684457,-0.0191763723421288,MoLFormer · XGB
CHEMBL239_EC50,morgan,mlp,33,-0.0132185300583526,-0.0163167243385036,Morgan · MLP
CHEMBL239_EC50,morgan,xgboost,33,-0.0195266477524189,-0.0294429872082801,Morgan · XGB
CHEMBL239_EC50,unimol,mlp,33,-0.0006980778616807,-0.0079326316966331,Uni-Mol · MLP
CHEMBL239_EC50,unimol,xgboost,33,0.0034519700324324,0.0080398043283088,Uni-Mol · XGB
CHEMBL244_Ki,molformer,mlp,52,-0.0097370341642895,-0.008419615546407,MoLFormer · MLP
CHEMBL244_Ki,molformer,xgboost,52,-0.0062529915539017,-0.0040323452286457,MoLFormer · XGB
CHEMBL244_Ki,morgan,mlp,52,-0.0434297338622186,-0.0407208184181231,Morgan · MLP
CHEMBL244_Ki,morgan,xgboost,52,-0.0298016926040985,-0.0321343379173169,Morgan · XGB
CHEMBL244_Ki,unimol,mlp,52,-0.0197404976343731,-0.0187264241642241,Uni-Mol · MLP
CHEMBL244_Ki,unimol,xgboost,52,0.0189241121837046,0.0176901884526292,Uni-Mol · XGB
CHEMBL262_Ki,molformer,mlp,13,-0.0468665630718267,-0.036199722953629,MoLFormer · MLP
CHEMBL262_Ki,molformer,xgboost,13,-0.0170932968549198,-0.0229476999047646,MoLFormer · XGB
CHEMBL262_Ki,morgan,mlp,13,-0.0148240234132031,-0.0071663171398745,Morgan · MLP
CHEMBL262_Ki,morgan,xgboost,13,-0.0374074074074075,-0.0605199999999999,Morgan · XGB
CHEMBL262_Ki,unimol,mlp,13,0.0264400870133312,0.0363467142630873,Uni-Mol · MLP
CHEMBL262_Ki,unimol,xgboost,13,0.0424543197798947,0.0422345803431053,Uni-Mol · XGB
CHEMBL264_Ki,molformer,mlp,46,-0.0010907055841222,0.001053728699778,MoLFormer · MLP
CHEMBL264_Ki,molformer,xgboost,46,-0.0116361885663355,-0.0162865353210132,MoLFormer · XGB
CHEMBL264_Ki,morgan,mlp,46,-0.0004100270228148,0.0074226027157637,Morgan · MLP
CHEMBL264_Ki,morgan,xgboost,46,0.0361599035189355,0.0183404607806887,Morgan · XGB
CHEMBL264_Ki,unimol,mlp,46,0.0058950597206725,0.0027569075329599,Uni-Mol · MLP
CHEMBL264_Ki,unimol,xgboost,46,0.0006522946955865,-0.0011315080487781,Uni-Mol · XGB
CHEMBL2835_Ki,molformer,mlp,5,-0.0040773765646609,-0.0005990549897191,MoLFormer · MLP
CHEMBL2835_Ki,molformer,xgboost,5,0.0180460581561839,0.0129952846738276,MoLFormer · XGB
CHEMBL2835_Ki,morgan,mlp,5,-0.0195413531945755,-0.0103641103672974,Morgan · MLP
CHEMBL2835_Ki,morgan,xgboost,5,-0.1754309134721083,-0.1660974945333304,Morgan · XGB
CHEMBL2835_Ki,unimol,mlp,5,0.0250592265649574,0.0269573819309735,Uni-Mol · MLP
CHEMBL2835_Ki,unimol,xgboost,5,0.2021198830409358,0.1921845077200921,Uni-Mol · XGB
CHEMBL287_Ki,molformer,mlp,26,0.0057190644282791,0.0035471602499244,MoLFormer · MLP
CHEMBL287_Ki,molformer,xgboost,26,0.006696581469342,-0.0002840590754449,MoLFormer · XGB
CHEMBL287_Ki,morgan,mlp,26,-0.01244063910977,-0.0091938940910169,Morgan · MLP
CHEMBL287_Ki,morgan,xgboost,26,0.0060544223215294,0.0023225223725272,Morgan · XGB
CHEMBL287_Ki,unimol,mlp,26,-0.0267400392285361,-0.02038022086215,Uni-Mol · MLP
CHEMBL287_Ki,unimol,xgboost,26,0.0002188956876457,0.0010442375155196,Uni-Mol · XGB
CHEMBL2971_Ki,molformer,mlp,11,-0.0514045640093762,-0.0535610634440569,MoLFormer · MLP
CHEMBL2971_Ki,molformer,xgboost,11,-0.0223195305597602,-0.0225016099970955,MoLFormer · XGB
CHEMBL2971_Ki,morgan,mlp,11,0.0,-0.000217032967033,Morgan · MLP
CHEMBL2971_Ki,morgan,xgboost,11,-0.0223292294125625,-0.0319347854526426,Morgan · XGB
CHEMBL2971_Ki,unimol,mlp,11,0.0,0.0025349816849816,Uni-Mol · MLP
CHEMBL2971_Ki,unimol,xgboost,11,-0.0063250945700606,0.0022150581865504,Uni-Mol · XGB
CHEMBL3979_EC50,molformer,mlp,17,-0.0306867932508053,-0.0307053721624776,MoLFormer · MLP
CHEMBL3979_EC50,molformer,xgboost,17,-0.0132961740389044,-0.0156570357952038,MoLFormer · XGB
CHEMBL3979_EC50,morgan,mlp,17,-0.011504817444219,-0.0124273171477663,Morgan · MLP
CHEMBL3979_EC50,morgan,xgboost,17,-0.004449580620014,-0.0133186396714639,Morgan · XGB
CHEMBL3979_EC50,unimol,mlp,17,-0.0043671326555313,-0.012399030106549,Uni-Mol · MLP
CHEMBL3979_EC50,unimol,xgboost,17,0.0069981891574452,0.0079053675900336,Uni-Mol · XGB
CHEMBL4005_Ki,molformer,mlp,17,-0.0492388191106139,-0.0251462573018371,MoLFormer · MLP
CHEMBL4005_Ki,molformer,xgboost,17,0.0511575202955516,0.0440154953402004,MoLFormer · XGB
CHEMBL4005_Ki,morgan,mlp,17,-0.083098675620043,-0.0837259163122411,Morgan · MLP
CHEMBL4005_Ki,morgan,xgboost,17,0.0036850742320633,0.010585273585118,Morgan · XGB
CHEMBL4005_Ki,unimol,mlp,17,-0.0622228843809697,-0.0586255301995253,Uni-Mol · MLP
CHEMBL4005_Ki,unimol,xgboost,17,-0.0157780991539963,-0.0245269705789379,Uni-Mol · XGB
CHEMBL4203_Ki,molformer,mlp,6,-0.0390170083184788,-0.0320378041178591,MoLFormer · MLP
CHEMBL4203_Ki,molformer,xgboost,6,-0.124676530118102,-0.1108751226364991,MoLFormer · XGB
CHEMBL4203_Ki,morgan,mlp,6,-0.0312415202342248,-0.0330324271254791,Morgan · MLP
CHEMBL4203_Ki,morgan,xgboost,6,0.0323989049824544,0.026846274440282,Morgan · XGB
CHEMBL4203_Ki,unimol,mlp,6,0.033487229048493,0.03569916539048,Uni-Mol · MLP
CHEMBL4203_Ki,unimol,xgboost,6,-0.0130657841965481,-0.0182263594331678,Uni-Mol · XGB
CHEMBL4616_EC50,molformer,mlp,9,-0.0197440185456711,-0.0131799712103795,MoLFormer · MLP
CHEMBL4616_EC50,molformer,xgboost,9,0.0,0.0,MoLFormer · XGB
CHEMBL4616_EC50,morgan,mlp,9,-0.013826829703995,-0.0095708891987053,Morgan · MLP
CHEMBL4616_EC50,morgan,xgboost,9,0.0909863101438536,0.0842661989376297,Morgan · XGB
CHEMBL4616_EC50,unimol,mlp,9,-0.0185964799672999,-0.01300682957225,Uni-Mol · MLP
CHEMBL4616_EC50,unimol,xgboost,9,0.0,0.0,Uni-Mol · XGB
CHEMBL4792_Ki,molformer,mlp,21,0.0103188253586307,0.0177541839830276,MoLFormer · MLP
CHEMBL4792_Ki,molformer,xgboost,21,-0.0384862312934958,-0.0366234075779289,MoLFormer · XGB
CHEMBL4792_Ki,morgan,mlp,21,0.0177812389723746,0.0311569761918362,Morgan · MLP
CHEMBL4792_Ki,morgan,xgboost,21,0.0613050433961406,0.0505159380679501,Morgan · XGB
CHEMBL4792_Ki,unimol,mlp,21,0.0170186599226764,0.0167865949793497,Uni-Mol · MLP
CHEMBL4792_Ki,unimol,xgboost,21,-0.0051127330445941,-0.0042977325740441,Uni-Mol · XGB
