dataset,component_id,representation,predictor,mapping_combinations_evaluated,chosen_mapping_nap,minimum_mapping_nap,maximum_mapping_nap,mapping_nap_range
CHEMBL218_EC50,49,unimol,mlp,2,0.3707326892109502,0.2289297658862876,0.3707326892109502,0.1418029233246625
CHEMBL218_EC50,57,morgan,xgboost,2,0.0656977142008547,0.0656977142008547,0.0886513185155719,0.0229536043147172
CHEMBL218_EC50,57,morgan,mlp,2,0.1444672974084738,0.1030538089361619,0.1444672974084738,0.0414134884723119
CHEMBL218_EC50,57,molformer,xgboost,2,0.2702272711653574,0.2123518132898995,0.2702272711653574,0.0578754578754578
CHEMBL218_EC50,57,molformer,mlp,2,0.2670861901631133,0.1931999624307316,0.2670861901631133,0.0738862277323816
CHEMBL218_EC50,57,unimol,xgboost,2,0.3697191697191698,0.3697191697191698,0.3996743996743997,0.0299552299552299
CHEMBL218_EC50,57,unimol,mlp,2,0.3687201687201688,0.3559511991031691,0.3687201687201688,0.0127689696169996
CHEMBL218_EC50,58,morgan,xgboost,3,-0.000993675031491,-0.000993675031491,0.0055824137284928,0.0065760887599838
CHEMBL218_EC50,58,morgan,mlp,3,-0.0163468927401031,-0.0180212827410376,-0.0163468927401031,0.0016743900009344
CHEMBL218_EC50,58,molformer,xgboost,3,0.0534277499099914,0.0534277499099914,0.1898969717450668,0.1364692218350754
CHEMBL218_EC50,58,molformer,mlp,3,0.0528175952132787,0.0528175952132787,0.0908015286240414,0.0379839334107626
CHEMBL218_EC50,58,unimol,xgboost,3,0.0351798584868356,0.0351798584868356,0.0694528453095841,0.0342729868227485
CHEMBL218_EC50,58,unimol,mlp,3,0.1142007244927882,0.1142007244927882,0.1265801306840195,0.0123794061912312
CHEMBL218_EC50,61,morgan,xgboost,2,0.0946843853820597,0.0478053922821364,0.0946843853820597,0.0468789930999233
CHEMBL218_EC50,61,morgan,mlp,2,0.010913998295954,0.010913998295954,0.0281987610319853,0.0172847627360312
CHEMBL218_EC50,61,molformer,xgboost,2,0.0175187302120456,0.0175187302120456,0.031989068411777,0.0144703381997314
CHEMBL218_EC50,61,molformer,mlp,2,0.0137090380549682,0.0003579486289482,0.0137090380549682,0.0133510894260199
CHEMBL218_EC50,61,unimol,xgboost,2,0.0860615021045453,0.0189306205469466,0.0860615021045453,0.0671308815575986
CHEMBL218_EC50,61,unimol,mlp,2,0.050663397929902,0.0364439339730037,0.050663397929902,0.0142194639568983
CHEMBL219_Ki,17,morgan,xgboost,2,0.0021929824561403,0.0021929824561403,0.0621867167919798,0.0599937343358394
CHEMBL219_Ki,17,morgan,mlp,2,0.0021929824561403,0.0021929824561403,0.1063596491228069,0.1041666666666665
CHEMBL219_Ki,17,molformer,xgboost,2,0.0758145363408521,0.0758145363408521,0.1063596491228069,0.0305451127819548
CHEMBL219_Ki,17,molformer,mlp,2,0.1052631578947368,0.1052631578947368,0.1358082706766916,0.0305451127819548
CHEMBL219_Ki,17,unimol,xgboost,2,0.031641604010025,0.031641604010025,0.0621867167919798,0.0305451127819548
CHEMBL219_Ki,17,unimol,mlp,2,0.0169172932330826,0.0169172932330826,0.1358082706766916,0.1188909774436089
CHEMBL219_Ki,76,morgan,xgboost,2,0.2789473684210526,0.2789473684210526,0.3279904306220096,0.049043062200957
CHEMBL219_Ki,76,morgan,mlp,2,0.2631578947368421,0.2631578947368421,0.3179824561403508,0.0548245614035087
CHEMBL219_Ki,76,molformer,xgboost,2,0.4078947368421052,0.4078947368421052,0.4999999999999999,0.0921052631578947
CHEMBL219_Ki,76,molformer,mlp,2,0.1085526315789473,0.1085526315789473,0.2006578947368421,0.0921052631578947
CHEMBL219_Ki,76,unimol,xgboost,2,0.2739234449760765,0.2739234449760765,0.3166866028708134,0.0427631578947368
CHEMBL219_Ki,76,unimol,mlp,2,0.131578947368421,0.131578947368421,0.2664473684210526,0.1348684210526316
CHEMBL228_Ki,0,morgan,xgboost,2,-0.0840433183550592,-0.0962445673984135,-0.0840433183550592,0.0122012490433542
CHEMBL228_Ki,0,morgan,mlp,2,-0.0049276120704692,-0.0130226915941201,-0.0049276120704692,0.0080950795236509
CHEMBL228_Ki,0,molformer,xgboost,2,-0.0800627943485085,-0.090378459075938,-0.0800627943485085,0.0103156647274294
CHEMBL228_Ki,0,molformer,mlp,2,-0.04079452293738,-0.0530687983695501,-0.04079452293738,0.0122742754321701
CHEMBL228_Ki,0,unimol,xgboost,2,0.0003052503052503,-0.006759113901971,0.0003052503052503,0.0070643642072213
CHEMBL228_Ki,0,unimol,mlp,2,0.042386185243328,0.042386185243328,0.0635792778649921,0.021193092621664
CHEMBL228_Ki,49,morgan,xgboost,2,0.0175953079178885,0.0175953079178885,0.0198537095088819,0.0022584015909933
CHEMBL228_Ki,49,morgan,mlp,2,0.0211038961038961,0.0115629984051036,0.0211038961038961,0.0095408976987924
CHEMBL228_Ki,49,molformer,xgboost,2,0.0033057851239669,0.0033057851239669,0.0084566596194503,0.0051508744954833
CHEMBL228_Ki,49,molformer,mlp,2,0.154040404040404,0.0863636363636363,0.154040404040404,0.0676767676767677
