dataset,representation,predictor,explainer,trained_seed_mean_nap,random_permutation_mean_nap,trained_minus_random_nap,test_pairs,permutations_used,permutation_ids,full_10_trained_minus_random_nap,difference_from_10,absolute_difference_from_10
CHEMBL2147_Ki,unimol,xgboost,crem_lime,0.0377055558424888,0.0524620431002137,0.0059529022012216656,13,1,42,0.02407604034700339,-0.018123138145781724,0.018123138145781724
CHEMBL2147_Ki,unimol,xgboost,crem_mean,0.1349787030536976,0.1981467066489144,0.0,13,1,42,-0.01814421955332993,0.01814421955332993,0.01814421955332993
CHEMBL218_EC50,molformer,mlp,crem_lime,0.15528216322121227,0.13512859564197754,0.04066063353090982,20,1,42,-0.013530299113428412,0.05419093264433823,0.05419093264433823
CHEMBL218_EC50,molformer,mlp,crem_mean,0.11626355221576268,0.10896390532744646,0.0039948412541702585,20,1,42,0.004449472891230821,-0.00045463163706056277,0.00045463163706056277
CHEMBL218_EC50,molformer,xgboost,crem_lime,0.12490457242703172,0.16143545526355724,0.01416838670897842,20,1,42,-0.08592576444589241,0.10009415115487083,0.10009415115487083
CHEMBL218_EC50,molformer,xgboost,crem_mean,0.09387951108999532,0.0703230505301253,0.026046805932877184,20,1,42,-0.02803920151982646,0.054086007452703644,0.054086007452703644
CHEMBL218_EC50,morgan,mlp,crem_lime,0.059486291677416474,0.0696149327150111,-0.018839857278856006,20,1,42,-0.003131763345914744,-0.015708093932941262,0.015708093932941262
CHEMBL218_EC50,morgan,mlp,crem_mean,0.09348907193692448,0.09012931265250135,-0.010080993263851699,20,1,42,-0.021264861779945514,0.011183868516093815,0.011183868516093815
CHEMBL218_EC50,morgan,xgboost,crem_lime,0.040230179336101346,0.10881557221502071,-0.0020671430999241007,20,1,42,0.006686139499352959,-0.00875328259927706,0.00875328259927706
CHEMBL218_EC50,morgan,xgboost,crem_mean,0.06384503299934563,0.0626120071684588,0.01951976267383633,20,1,42,-0.027394884424511386,0.046914647098347716,0.046914647098347716
CHEMBL218_EC50,unimol,mlp,crem_lime,0.11896617382949232,0.11403965321915525,0.0714827420244027,20,1,42,0.04348733582664711,0.027995406197755597,0.027995406197755597
CHEMBL218_EC50,unimol,mlp,crem_mean,0.12306763810270649,0.09612468158420695,0.04371480892713121,20,1,42,0.007414609479662761,0.03630019944746845,0.03630019944746845
CHEMBL218_EC50,unimol,xgboost,crem_lime,0.1209850857655222,0.09836196230613245,0.04472180891424032,20,1,42,0.0018063151344325755,0.042915493779807745,0.042915493779807745
CHEMBL218_EC50,unimol,xgboost,crem_mean,0.13750625809714118,0.0496523634623511,0.01294904652905949,20,1,42,0.01048789198430701,0.0024611545447524794,0.0024611545447524794
CHEMBL219_Ki,molformer,mlp,crem_lime,0.07789433623848832,0.08245172636232155,-0.002186430150187345,34,1,42,0.024970820945212358,-0.027157251095399702,0.027157251095399702
CHEMBL219_Ki,molformer,mlp,crem_mean,0.005239898989899033,0.0294313974896278,0.0,34,1,42,-0.019960667859818003,0.019960667859818003,0.019960667859818003
CHEMBL219_Ki,molformer,xgboost,crem_lime,0.02662055922842097,0.09168727089108075,-0.020522479942028084,34,1,42,-0.062038874894478215,0.04151639495245013,0.04151639495245013
CHEMBL219_Ki,molformer,xgboost,crem_mean,0.03034466725619002,0.0381102320819139,-7.072343454789243e-06,34,1,42,-0.0057991837100297644,0.005792111366574975,0.005792111366574975
CHEMBL219_Ki,morgan,mlp,crem_lime,0.07788240032874093,0.05011697079537865,0.030404988684282347,34,1,42,-0.041784305530078766,0.07218929421436111,0.07218929421436111
CHEMBL219_Ki,morgan,mlp,crem_mean,0.0154314375248413,0.0338663243075007,-0.010693609600308566,34,1,42,-0.013187495971666095,0.0024938863713575288,0.0024938863713575288
CHEMBL219_Ki,morgan,xgboost,crem_lime,0.03195408601722609,0.042582508683234446,-0.03891485041990228,34,1,42,-0.0654928376946105,0.026577987274708226,0.026577987274708226
CHEMBL219_Ki,morgan,xgboost,crem_mean,0.04971189749452613,0.037202380952380903,0.0,34,1,42,0.0,0.0,0.0
CHEMBL219_Ki,unimol,mlp,crem_lime,0.07456088444916023,0.04206200560923165,0.013109419757782695,34,1,42,-0.0038214404185776957,0.01693086017636039,0.01693086017636039
CHEMBL219_Ki,unimol,mlp,crem_mean,0.03856167760584141,0.0040817889655862,0.0,34,1,42,-0.002875968638234491,0.002875968638234491,0.002875968638234491
CHEMBL219_Ki,unimol,xgboost,crem_lime,0.09580995789268887,0.04905068391505385,0.08144680439745,34,1,42,0.029258197674044487,0.052188606723405515,0.052188606723405515
CHEMBL219_Ki,unimol,xgboost,crem_mean,0.0372393412809999,0.01917735042735035,0.0,34,1,42,0.0,0.0,0.0
CHEMBL228_Ki,molformer,mlp,crem_lime,0.06323106761130311,0.0072906617496579,0.017855376297762002,31,1,42,-0.009547403246493577,0.02740277954425558,0.02740277954425558
CHEMBL228_Ki,molformer,mlp,crem_mean,0.11316319474942653,0.19140625,-0.00891865079365083,31,1,42,0.0,-0.00891865079365083,0.00891865079365083
CHEMBL228_Ki,molformer,xgboost,crem_lime,0.0349523247171911,0.0556818181818182,-0.0012640125033509808,31,1,42,-0.09867377906489966,0.09740976656154868,0.09740976656154868
CHEMBL228_Ki,molformer,xgboost,crem_mean,0.08696585514297679,0.1671425050282736,-0.011864406779661003,31,1,42,-0.0005568783068783251,-0.011307528472782678,0.011307528472782678
CHEMBL228_Ki,morgan,mlp,crem_lime,0.07228337019890557,0.119831241348427,0.003913044199410534,31,1,42,-0.04901776957925069,0.052930813778661226,0.052930813778661226
CHEMBL228_Ki,morgan,mlp,crem_mean,0.1501880973090271,0.1835822420791173,0.0,31,1,42,-0.002327173086256934,0.002327173086256934,0.002327173086256934
CHEMBL228_Ki,morgan,xgboost,crem_lime,0.16238736753442634,0.0328947368421052,0.009703331647775953,31,1,42,-0.025542908868739264,0.03524624051651522,0.03524624051651522
CHEMBL228_Ki,morgan,xgboost,crem_mean,0.13230831156374176,0.0701247165532879,0.0122685185185185,31,1,42,0.032827013491867674,-0.020558494973349176,0.020558494973349176
CHEMBL228_Ki,unimol,mlp,crem_lime,0.08242018398268393,0.0426271186440677,0.024850769244455336,31,1,42,-0.011640377307670202,0.03649114655212554,0.03649114655212554
CHEMBL228_Ki,unimol,mlp,crem_mean,0.17613882958860838,0.2016171328671328,0.0,31,1,42,0.0,0.0,0.0
CHEMBL228_Ki,unimol,xgboost,crem_lime,0.085023181636456,0.0885888472123461,-0.0025873171624409413,31,1,42,-0.026623471379815897,0.024036154217374955,0.024036154217374955
CHEMBL228_Ki,unimol,xgboost,crem_mean,0.12604730979062526,0.1292491515837104,0.0,31,1,42,0.0,0.0,0.0
CHEMBL231_Ki,molformer,mlp,crem_lime,0.17435233796633257,0.2586134466020943,-0.01944504045088291,15,1,42,-0.03457277342558309,0.01512773297470018,0.01512773297470018
CHEMBL231_Ki,molformer,mlp,crem_mean,0.08040408664299416,0.0893296214762501,0.002265715696166801,15,1,42,-0.0011388415605184492,0.00340455725668525,0.00340455725668525
CHEMBL231_Ki,molformer,xgboost,crem_lime,0.2052561243753052,0.1119515408408752,-0.13247507099695527,15,1,42,-0.009797219316420972,-0.1226778516805343,0.1226778516805343
CHEMBL231_Ki,molformer,xgboost,crem_mean,0.03197509648458454,0.1744247205785667,-0.02333678864571316,15,1,42,-0.04491845336075812,0.02158166471504496,0.02158166471504496
CHEMBL231_Ki,morgan,mlp,crem_lime,-0.0149711996893036,0.1280444339486337,-0.07341973594833884,15,1,42,-0.07092362580634892,-0.0024961101419899157,0.0024961101419899157
CHEMBL231_Ki,morgan,mlp,crem_mean,0.0615376779776221,0.2626580106474407,-0.12134569996089606,15,1,42,-0.09720512837883888,-0.02414057158205718,0.02414057158205718
CHEMBL231_Ki,morgan,xgboost,crem_lime,0.0082642212346194,0.1096360406284092,-0.17985365637462403,15,1,42,-0.21963189392112709,0.03977823754650306,0.03977823754650306
CHEMBL231_Ki,morgan,xgboost,crem_mean,0.054297437306580536,0.1878282070517629,-0.04444617835177876,15,1,42,-0.01963835534213678,-0.02480782300964198,0.02480782300964198
CHEMBL231_Ki,unimol,mlp,crem_lime,0.10231834273560715,0.03861059061493,-0.02466022349743276,15,1,42,-0.019069795801744338,-0.005590427695688422,0.005590427695688422
CHEMBL231_Ki,unimol,mlp,crem_mean,0.07598850374992246,0.0958170781119237,-0.0175612353502181,15,1,42,-0.04406209828897577,0.02650086293875767,0.02650086293875767
CHEMBL231_Ki,unimol,xgboost,crem_lime,0.08464802809085686,0.0383580744549372,0.061686563032177635,15,1,42,-0.004045534676660467,0.0657320977088381,0.0657320977088381
CHEMBL231_Ki,unimol,xgboost,crem_mean,0.07886172767286108,0.0831779230210602,-0.05586165342739837,15,1,42,-0.027792002768984796,-0.028069650658413575,0.028069650658413575
CHEMBL233_Ki,molformer,mlp,crem_lime,0.20935385946154678,0.08882116499827306,0.050226025164183896,46,1,42,0.05512283662350788,-0.0048968114593239825,0.0048968114593239825
CHEMBL233_Ki,molformer,mlp,crem_mean,0.06756041363801868,0.09722469014620175,0.00703487735755139,46,1,42,-0.027219368012148516,0.034254245369699905,0.034254245369699905
CHEMBL233_Ki,molformer,xgboost,crem_lime,0.09109888852853334,0.1380590835158122,-0.0016211070403994998,46,1,42,-0.028569725525703714,0.026948618485304214,0.026948618485304214
CHEMBL233_Ki,molformer,xgboost,crem_mean,0.05917147706744719,0.13258325043362915,-0.003594604960322434,46,1,42,-0.028282934936370498,0.024688329976048064,0.024688329976048064
CHEMBL233_Ki,morgan,mlp,crem_lime,0.10156235618517284,0.07159401309523335,0.014806716598590251,46,1,42,-0.04966308078270591,0.06446979738129616,0.06446979738129616
CHEMBL233_Ki,morgan,mlp,crem_mean,0.21674264872350057,0.10693766374482219,0.019884373178361166,46,1,42,-0.0016650867073822549,0.021549459885743423,0.021549459885743423
CHEMBL233_Ki,morgan,xgboost,crem_lime,0.04506673700555515,0.06387122841762095,0.0164046756834669,46,1,42,-0.06330433599151875,0.07970901167498565,0.07970901167498565
CHEMBL233_Ki,morgan,xgboost,crem_mean,0.1448991080492829,0.07527583781191274,0.013253155773546153,46,1,42,0.05114722042718283,-0.03789406465363668,0.03789406465363668
CHEMBL233_Ki,unimol,mlp,crem_lime,0.1365681450650114,0.2558177328935831,-0.049948145657860425,46,1,42,0.007383274716273813,-0.05733142037413424,0.05733142037413424
