representation,predictor,explainer,permutation_id,target_balanced_median_normalized_ap_lift,targets
morgan,mlp,crem_mean,47,0.1330909090909091,27
morgan,mlp,crem_mean,48,0.10353525532745131,27
morgan,mlp,crem_mean,49,0.14278827433589325,27
morgan,mlp,crem_mean,50,0.10537691318339355,27
morgan,mlp,crem_mean,51,0.1229745333036868,27
morgan,xgboost,crem_lime,42,0.0392781395828215,27
morgan,xgboost,crem_lime,43,0.0652739097876829,27
morgan,xgboost,crem_lime,44,0.04686480641655115,27
morgan,xgboost,crem_lime,45,0.0599052974977683,27
morgan,xgboost,crem_lime,46,0.08893984667699036,27
morgan,xgboost,crem_lime,47,0.067163782509051,27
morgan,xgboost,crem_lime,48,0.0307505018772463,27
morgan,xgboost,crem_lime,49,0.0857123625378406,27
morgan,xgboost,crem_lime,50,0.048079648526077,27
morgan,xgboost,crem_lime,51,0.056433995472651245,27
morgan,xgboost,crem_mean,42,0.0747373286435786,27
morgan,xgboost,crem_mean,43,0.01636904761904755,27
morgan,xgboost,crem_mean,44,0.04823699080665025,27
morgan,xgboost,crem_mean,45,0.024186072765618148,27
morgan,xgboost,crem_mean,46,0.0790333359802807,27
morgan,xgboost,crem_mean,47,0.037202380952380903,27
morgan,xgboost,crem_mean,48,0.02272727272727265,27
morgan,xgboost,crem_mean,49,0.0224089635854341,27
morgan,xgboost,crem_mean,50,0.023768277177368,27
morgan,xgboost,crem_mean,51,0.0185680018822863,27
unimol,mlp,crem_lime,42,0.0820983414733414,27
unimol,mlp,crem_lime,43,0.0648370268338211,27
unimol,mlp,crem_lime,44,0.08991376574702555,27
unimol,mlp,crem_lime,45,0.08092833670717181,27
unimol,mlp,crem_lime,46,0.0697965410649167,27
unimol,mlp,crem_lime,47,0.0686517582181104,27
unimol,mlp,crem_lime,48,0.0612913559521695,27
unimol,mlp,crem_lime,49,0.066103324434274,27
unimol,mlp,crem_lime,50,0.0617087105518042,27
unimol,mlp,crem_lime,51,0.05413738294322375,27
unimol,mlp,crem_mean,42,0.1119096360134964,27
unimol,mlp,crem_mean,43,0.11366274201244739,27
unimol,mlp,crem_mean,44,0.0945468290290944,27
unimol,mlp,crem_mean,45,0.0818107047273713,27
unimol,mlp,crem_mean,46,0.0768985815359757,27
unimol,mlp,crem_mean,47,0.1022644403651268,27
unimol,mlp,crem_mean,48,0.111366265005642,27
unimol,mlp,crem_mean,49,0.08552924513321515,27
unimol,mlp,crem_mean,50,0.1072159130767469,27
unimol,mlp,crem_mean,51,0.09638150873378815,27
unimol,xgboost,crem_lime,42,0.0541933132254606,27
unimol,xgboost,crem_lime,43,0.06437214437501075,27
unimol,xgboost,crem_lime,44,0.0825695532307433,27
unimol,xgboost,crem_lime,45,0.06358396777542336,27
unimol,xgboost,crem_lime,46,0.09762981024279,27
unimol,xgboost,crem_lime,47,0.0630678877588884,27
unimol,xgboost,crem_lime,48,0.0609208409215794,27
unimol,xgboost,crem_lime,49,0.0620338438157586,27
unimol,xgboost,crem_lime,50,0.0785449963520383,27
unimol,xgboost,crem_lime,51,0.0668861188622219,27
unimol,xgboost,crem_mean,42,0.10412395455426826,27
unimol,xgboost,crem_mean,43,0.1042813877918553,27
unimol,xgboost,crem_mean,44,0.1125294612794613,27
unimol,xgboost,crem_mean,45,0.096078431372549,27
unimol,xgboost,crem_mean,46,0.0733806855118467,27
unimol,xgboost,crem_mean,47,0.1213728244016101,27
unimol,xgboost,crem_mean,48,0.08531930343207514,27
unimol,xgboost,crem_mean,49,0.1182291666666666,27
unimol,xgboost,crem_mean,50,0.0947504322504322,27
unimol,xgboost,crem_mean,51,0.0816216251724812,27
