representation,predictor,permutation_id,target_balanced_spearman,target_balanced_direction_accuracy,target_balanced_delta_mae,target_balanced_delta_rmse,target_balanced_median_absolute_predicted_delta,targets,spearman_defined_targets
unimol,mlp,42,-0.032967032967032975,0.5,1.7767625606180002,1.8866708058123993,0.11768633127212519,27,27
unimol,mlp,43,0.08640148011100832,0.5531914893617021,1.7439652065088531,1.8726546052237871,0.11696308851242065,27,27
unimol,mlp,44,-0.01098901098901099,0.5,1.7781761233365598,1.9148850570094689,0.1260008811950683,27,27
unimol,mlp,45,0.0726078799249531,0.4782608695652174,1.7845586003468665,1.9023659966931579,0.1182186603546142,27,27
unimol,mlp,46,-0.021978021978021976,0.5,1.7648660283605158,1.8894636331463983,0.13005959987640375,27,27
unimol,mlp,47,0.00648851703235721,0.5106382978723404,1.7356797557393608,1.8485226633093625,0.1152259111404419,27,27
unimol,mlp,48,-0.03636363636363636,0.48484848484848486,1.7922937397133742,1.9342592266455942,0.1026272773742675,27,27
unimol,mlp,49,-0.045454545454545456,0.48936170212765956,1.79112560757266,1.9309365382346182,0.11629992723464966,27,27
unimol,mlp,50,0.07142857142857144,0.5,1.7771522557855417,1.918169883428994,0.11289370059967035,27,27
unimol,mlp,51,0.028571428571428574,0.5,1.7826411933970603,1.9389796005150748,0.1316643953323364,27,27
unimol,xgboost,42,0.13939393939393938,0.5,1.7789617145033114,1.9068283328585032,0.035619199275970403,27,27
unimol,xgboost,43,-0.015789473684210527,0.45454545454545453,1.7632644867671636,1.8830565303544935,0.0676882266998291,27,27
unimol,xgboost,44,0.0,0.4444444444444444,1.7637749663688425,1.9207948809448134,0.041375637054443304,27,27
unimol,xgboost,45,-0.05454545454545454,0.47058823529411764,1.7589804335406853,1.873120604946868,0.053955852985382,27,27
unimol,xgboost,46,0.07183471303923435,0.5454545454545454,1.7725727224115895,1.9027635773534948,0.0567636489868164,27,27
unimol,xgboost,47,-0.010699274758955702,0.42857142857142855,1.772681521750274,1.8713341467764493,0.0617434978485107,27,27
unimol,xgboost,48,0.06617647058823531,0.4117647058823529,1.7787196799090936,1.8874918166081152,0.0397148132324218,27,27
unimol,xgboost,49,-0.04208155708045973,0.4666666666666667,1.7658391876987054,1.9004775803991658,0.04319238662719725,27,27
unimol,xgboost,50,-0.006593406593406593,0.46153846153846156,1.7835803257136549,1.884107223390805,0.041435360908508245,27,27
unimol,xgboost,51,-0.04649592268920968,0.4,1.7669536567110353,1.8946816491327,0.0312597751617431,27,27
