representation,predictor,explainer,target_balanced_trained_nap,target_balanced_random_nap,target_balanced_trained_minus_random_nap,targets,permutations_used,permutation_ids,full_10_trained_minus_random_nap,difference_from_10,absolute_difference_from_10
molformer,xgboost,crem_lime,0.08498574012329882,0.11458676653657052,-0.016973109104557488,27,5,"42,43,44,45,46",-0.03346605295859932,0.016492943854041833,0.016492943854041833
molformer,xgboost,crem_mean,0.09149980058265719,0.12430262842832575,-0.0052686114033533155,27,5,"42,43,44,45,46",-0.012401445760497478,0.0071328343571441626,0.0071328343571441626
morgan,mlp,crem_lime,0.09563225996512903,0.17578259726778955,-0.05198478325703118,27,5,"42,43,44,45,46",-0.045341154077810454,-0.006643629179220727,0.006643629179220727
morgan,mlp,crem_mean,0.09348907193692448,0.14242961202506432,-0.014817892097059047,27,5,"42,43,44,45,46",-0.01885237817622623,0.0040344860791671835,0.0040344860791671835
morgan,xgboost,crem_lime,0.040230179336101346,0.12316271283476392,-0.06343393547031564,27,5,"42,43,44,45,46",-0.08644123086443797,0.02300729539412233,0.02300729539412233
morgan,xgboost,crem_mean,0.0793128508379837,0.08950012389522534,-0.0162119602337746,27,5,"42,43,44,45,46",-0.018631098375656144,0.0024191381418815425,0.0024191381418815425
unimol,mlp,crem_lime,0.08308362447215921,0.1162298420957292,-0.0012795509194206967,27,5,"42,43,44,45,46",-0.014382966505544409,0.013103415586123712,0.013103415586123712
unimol,mlp,crem_mean,0.10041329391306061,0.1126927016170417,-0.006938742622369473,27,5,"42,43,44,45,46",-0.002875968638234491,-0.004062773984134982,0.004062773984134982
unimol,xgboost,crem_lime,0.09392523041620304,0.12881871673472406,-0.019873122265940138,27,5,"42,43,44,45,46",-0.018292132990177415,-0.001580989275762723,0.001580989275762723
unimol,xgboost,crem_mean,0.1091551298046829,0.10656156156156152,0.0,27,5,"42,43,44,45,46",-0.0030426456226819755,0.0030426456226819755,0.0030426456226819755
molformer,mlp,crem_lime,0.07397036587487008,0.1238853765627124,-0.034101962556831025,27,10,"42,43,44,45,46,47,48,49,50,51",-0.034101962556831025,0.0,0.0
molformer,mlp,crem_mean,0.08040408664299416,0.11378715734805661,-0.00872336956401381,27,10,"42,43,44,45,46,47,48,49,50,51",-0.00872336956401381,0.0,0.0
molformer,xgboost,crem_lime,0.08498574012329882,0.12995619331061825,-0.03346605295859932,27,10,"42,43,44,45,46,47,48,49,50,51",-0.03346605295859932,0.0,0.0
molformer,xgboost,crem_mean,0.09149980058265719,0.11978061443633974,-0.012401445760497478,27,10,"42,43,44,45,46,47,48,49,50,51",-0.012401445760497478,0.0,0.0
morgan,mlp,crem_lime,0.09563225996512903,0.1874865298036469,-0.045341154077810454,27,10,"42,43,44,45,46,47,48,49,50,51",-0.045341154077810454,0.0,0.0
morgan,mlp,crem_mean,0.09348907193692448,0.15038498333783054,-0.01885237817622623,27,10,"42,43,44,45,46,47,48,49,50,51",-0.01885237817622623,0.0,0.0
morgan,xgboost,crem_lime,0.040230179336101346,0.14335278182289787,-0.08644123086443797,27,10,"42,43,44,45,46,47,48,49,50,51",-0.08644123086443797,0.0,0.0
morgan,xgboost,crem_mean,0.0793128508379837,0.0924665848857025,-0.018631098375656144,27,10,"42,43,44,45,46,47,48,49,50,51",-0.018631098375656144,0.0,0.0
unimol,mlp,crem_lime,0.08308362447215921,0.12894433033726949,-0.014382966505544409,27,10,"42,43,44,45,46,47,48,49,50,51",-0.014382966505544409,0.0,0.0
unimol,mlp,crem_mean,0.10041329391306061,0.12396419039334745,-0.002875968638234491,27,10,"42,43,44,45,46,47,48,49,50,51",-0.002875968638234491,0.0,0.0
unimol,xgboost,crem_lime,0.09392523041620304,0.12388814538820975,-0.018292132990177415,27,10,"42,43,44,45,46,47,48,49,50,51",-0.018292132990177415,0.0,0.0
unimol,xgboost,crem_mean,0.1091551298046829,0.1301891939669287,-0.0030426456226819755,27,10,"42,43,44,45,46,47,48,49,50,51",-0.0030426456226819755,0.0,0.0
