dataset,representation,predictor,explainer,permutations,mean_of_permutation_medians,sd_of_permutation_medians,median_of_permutation_medians,q25_of_permutation_medians,q75_of_permutation_medians,minimum_permutation_median,maximum_permutation_median
CHEMBL2147_Ki,molformer,xgboost,crem_lime,10,0.06333444180215442,0.058242901951736176,0.0610979997394349,0.009342173477161925,0.112571255089362,-0.0143896141919857,0.1499364272091544
CHEMBL2147_Ki,molformer,xgboost,crem_mean,10,0.07056496433743481,0.04381172530423447,0.06763478868964515,0.046633626040076724,0.10687178619454163,0.0,0.1320331326349589
CHEMBL2147_Ki,morgan,mlp,crem_lime,10,0.13857638199270014,0.1040636810225882,0.1115085422151033,0.06554197969141147,0.17669691057637207,0.0178763092181242,0.3183982683982683
CHEMBL2147_Ki,morgan,mlp,crem_mean,10,0.13944955877909138,0.057945488284838725,0.1358107164692842,0.09205234570468154,0.17449541542572233,0.0623737373737373,0.2320214147264148
CHEMBL2147_Ki,morgan,xgboost,crem_lime,10,0.08303936546551569,0.10771278849167772,0.07111998281847005,0.018069982622678674,0.08410739939454685,0.0,0.3668616171104721
CHEMBL2147_Ki,morgan,xgboost,crem_mean,10,0.04282641371092092,0.040875930126785955,0.03790178571428565,0.003523284313725475,0.07998987638533672,0.0,0.1004407713498623
CHEMBL2147_Ki,unimol,mlp,crem_lime,10,0.07644061904085056,0.059481524004595186,0.06279487087530256,0.050541082383749804,0.07836416685806114,0.0213419750166537,0.23674400596432
CHEMBL2147_Ki,unimol,mlp,crem_mean,10,0.13588336799221282,0.0666649671984166,0.14350886741902094,0.07650129287689088,0.18581630891888282,0.0392680840664711,0.2356974921630093
CHEMBL2147_Ki,unimol,xgboost,crem_lime,10,0.08951478256680157,0.09001478673979307,0.045088666738128946,0.03439572281094225,0.14569145120715485,0.0112616942201717,0.289520091440012
CHEMBL2147_Ki,unimol,xgboost,crem_mean,10,0.13722194724814013,0.061713479818165926,0.13952582793489737,0.11085295355515942,0.18566986444235356,0.015978192096245,0.2184151723367409
CHEMBL218_EC50,molformer,mlp,crem_lime,10,0.12631314453290737,0.06535812415740921,0.10028761255672047,0.09027744060221027,0.17084898800332,0.0388480692731381,0.2377477190475889
CHEMBL218_EC50,molformer,mlp,crem_mean,10,0.10830378412942505,0.041175459488330395,0.10134458087745432,0.08949857039180867,0.13576339811668195,0.0516393715505592,0.17583404843020223
CHEMBL218_EC50,molformer,xgboost,crem_lime,10,0.12965070061236647,0.0464514593836397,0.14680898162377626,0.08936021370903217,0.16699672151479897,0.059590058968559595,0.1763944903439075
