dataset,representation,predictor,explainer,permutation_id,permutation_seed,median_normalized_ap_lift,mean_normalized_ap_lift,test_pairs
CHEMBL1871_Ki,unimol,xgboost,crem_mean,45,20261947,0.0341736694677871,0.1293957281251197,11
CHEMBL1871_Ki,unimol,xgboost,crem_mean,46,20261948,0.1190726711560045,0.22678695701885526,11
CHEMBL1871_Ki,unimol,xgboost,crem_mean,47,20261949,0.1701955782312925,0.15300785280714216,11
CHEMBL1871_Ki,unimol,xgboost,crem_mean,48,20261950,0.1197916666666666,0.13086361350617431,11
CHEMBL1871_Ki,unimol,xgboost,crem_mean,49,20261951,0.0775933014354067,0.06864435885444363,11
CHEMBL1871_Ki,unimol,xgboost,crem_mean,50,20261952,0.0284304511278195,0.11982674115288589,11
CHEMBL1871_Ki,unimol,xgboost,crem_mean,51,20261953,0.0465425531914893,0.1949595493554572,11
CHEMBL2034_Ki,molformer,mlp,crem_lime,42,20262944,0.20354457313449398,0.3197333715320933,12
CHEMBL2034_Ki,molformer,mlp,crem_lime,43,20262945,0.1875846566360289,0.2074161745210088,12
CHEMBL2034_Ki,molformer,mlp,crem_lime,44,20262946,0.18224992967364917,0.22450599813938513,12
CHEMBL2034_Ki,molformer,mlp,crem_lime,45,20262947,0.3599929673842964,0.37602963633688047,12
CHEMBL2034_Ki,molformer,mlp,crem_lime,46,20262948,0.09014253628085996,0.16044179434347872,12
CHEMBL2034_Ki,molformer,mlp,crem_lime,47,20262949,0.02493274213225835,0.0967311541645534,12
CHEMBL2034_Ki,molformer,mlp,crem_lime,48,20262950,0.07306550718800314,0.2618782332129875,12
CHEMBL2034_Ki,molformer,mlp,crem_lime,49,20262951,0.06977868198539965,0.17378625819006577,12
CHEMBL2034_Ki,molformer,mlp,crem_lime,50,20262952,0.15168021943472598,0.26933439955561805,12
CHEMBL2034_Ki,molformer,mlp,crem_lime,51,20262953,0.02507605471480905,0.01805052738453625,12
CHEMBL2034_Ki,molformer,mlp,crem_mean,42,20262944,0.16752057466343165,0.19857090097655997,12
CHEMBL2034_Ki,molformer,mlp,crem_mean,43,20262945,0.09162976757885019,0.11846491932946551,12
CHEMBL2034_Ki,molformer,mlp,crem_mean,44,20262946,0.1547252751087105,0.23426546293219083,12
