dataset,representation,predictor,permutation_id,permutation_seed,test_pairs,spearman_true_predicted_delta,spearman_defined,direction_accuracy,delta_mae,delta_rmse,median_absolute_predicted_delta
CHEMBL218_EC50,morgan,xgboost,49,20267951,20,0.2049315962873832,True,0.05,1.9741084861731224,2.1044676946446557,0.0
CHEMBL218_EC50,morgan,xgboost,50,20267952,20,-0.1567182714688178,True,0.25,1.9883773612951927,2.1193041530449066,0.024905681610107352
CHEMBL218_EC50,morgan,xgboost,51,20267953,20,-0.5116978708193979,True,0.05,1.988337748048275,2.1221643359713225,0.0
CHEMBL218_EC50,unimol,mlp,42,20267944,20,-0.25112781954887214,True,0.45,2.0059950757002527,2.1402981011986824,0.034889340400695745
CHEMBL218_EC50,unimol,mlp,43,20267945,20,-0.11578947368421053,True,0.55,2.001339058873623,2.1485910809239033,0.09842109680175776
CHEMBL218_EC50,unimol,mlp,44,20267946,20,-0.1894736842105263,True,0.4,1.990989630219906,2.117312893166293,0.08200359344482419
CHEMBL218_EC50,unimol,mlp,45,20267947,20,-0.5684210526315789,True,0.3,2.058696954247921,2.1962220711244034,0.0888431072235107
CHEMBL218_EC50,unimol,mlp,46,20267948,20,-0.0631578947368421,True,0.5,1.9777944493269615,2.11260208369634,0.06517469882965085
CHEMBL218_EC50,unimol,mlp,47,20267949,20,-0.009022556390977442,True,0.55,1.9706578183149985,2.1130196275237556,0.07030093669891355
CHEMBL218_EC50,unimol,mlp,48,20267950,20,-0.10526315789473684,True,0.4,2.0014545965170556,2.140503423747174,0.0745354890823364
CHEMBL218_EC50,unimol,mlp,49,20267951,20,-0.14586466165413534,True,0.55,1.9881284642195396,2.1257558164602988,0.06977701187133786
CHEMBL218_EC50,unimol,mlp,50,20267952,20,0.13233082706766916,True,0.55,1.9658613610243492,2.102589812230546,0.0977568626403808
CHEMBL218_EC50,unimol,mlp,51,20267953,20,0.20751879699248119,True,0.5,1.9366107869124107,2.09228605284177,0.13660860061645505
CHEMBL218_EC50,unimol,xgboost,42,20267944,20,-0.33674777459840516,True,0.35,1.9784012007689171,2.113233544964919,0.02848255634307855
CHEMBL218_EC50,unimol,xgboost,43,20267945,20,0.040616776095375666,True,0.45,1.9699920105909996,2.1022097608038512,0.039191722869873
CHEMBL218_EC50,unimol,xgboost,44,20267946,20,-0.23947369224789417,True,0.0,1.9822613644575768,2.111101402743733,0.0
CHEMBL218_EC50,unimol,xgboost,45,20267947,20,-0.37382477258151303,True,0.45,1.9800970602011376,2.1098483052880987,0.0267204046249389
