scenario,rationale,explainer,dataset,component_id,representation,predictor,trained_nap,trained_ap,trained_prevalence,permuted_nap,permuted_ap,permuted_prevalence,delta_nap
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,85,morgan,mlp,0.2940212857318121,0.3276393197445829,0.047619047619047616,0.14117095027712087,0.18206757169249607,0.047619047619047616,0.1528503354546912
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,85,morgan,xgboost,0.10729844499136625,0.14980804284892021,0.047619047619047616,0.050870677382949314,0.09606731179328505,0.047619047619047616,0.05642776760841693
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,85,unimol,mlp,0.09474704741759211,0.13785433087389723,0.047619047619047616,0.08806967001005576,0.13149492381910072,0.047619047619047616,0.00667737740753635
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,85,unimol,xgboost,0.27029428409734013,0.3050421753308001,0.047619047619047616,0.3396584731799301,0.3711033077904096,0.047619047619047616,-0.06936418908258996
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,91,molformer,mlp,0.3266666666666667,0.3525641025641026,0.038461538461538464,0.24013071895424834,0.2693564605329311,0.038461538461538464,0.08653594771241838
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,91,molformer,xgboost,0.21214356329249942,0.2424457339350956,0.038461538461538464,0.20110438378249854,0.23183113825240242,0.038461538461538464,0.011039179510000885
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,91,morgan,mlp,0.06583349018131626,0.10176297132818872,0.038461538461538464,0.2664459116980125,0.2946595304788582,0.038461538461538464,-0.20061242151669625
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,91,morgan,xgboost,0.2168888888888889,0.24700854700854702,0.038461538461538464,0.08295757575757576,0.11822843822843822,0.038461538461538464,0.13393131313131315
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,91,unimol,mlp,0.3875555555555556,0.41111111111111115,0.038461538461538464,-0.004424691680071881,0.03420702723070012,0.038461538461538464,0.39198024723562747
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,91,unimol,xgboost,0.33030214752567694,0.35605975723622785,0.038461538461538464,0.07789972899728996,0.11336512403585575,0.038461538461538464,0.25240241852838696
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,102,molformer,mlp,0.11093699211279119,0.15772978200159168,0.05263157894736842,0.2598964913189051,0.2988493075652785,0.05263157894736842,-0.1489594992061139
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,102,molformer,xgboost,0.03802982516797221,0.08865983436965787,0.05263157894736842,0.15452390056678778,0.19902264264222,0.05263157894736842,-0.11649407539881557
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,102,morgan,mlp,0.018648047844622182,0.07029815058964206,0.05263157894736842,0.04699971682605738,0.0971576264667912,0.05263157894736842,-0.028351668981435197
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,102,morgan,xgboost,0.043495234919140285,0.09383759097602763,0.05263157894736842,0.14160126035126033,0.18678014138540452,0.05263157894736842,-0.09810602543212005
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,102,unimol,mlp,-0.014488774817791409,0.038905371225250236,0.05263157894736842,0.1556808013279562,0.2001186538896427,0.05263157894736842,-0.1701695761457476
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,102,unimol,xgboost,-0.012239196865082522,0.041036550338342866,0.05263157894736842,0.07385495711235031,0.12259943305380556,0.05263157894736842,-0.08609415397743284
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,107,molformer,mlp,0.3334964552355857,0.38903841729928684,0.08333333333333333,0.23583662714097497,0.2995169082125604,0.08333333333333333,0.09765982809461071
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,107,molformer,xgboost,0.5067193675889329,0.5478260869565217,0.08333333333333333,0.2869657600230488,0.346385280021128,0.08333333333333333,0.21975360756588408
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,107,morgan,mlp,-0.005669362874391878,0.07813641736514078,0.08333333333333333,0.33702239789196314,0.39227053140096624,0.08333333333333333,-0.34269176076635505
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,107,morgan,xgboost,0.332143543560034,0.38779824826336456,0.08333333333333333,0.01074575542660649,0.09318360914105595,0.08333333333333333,0.3213977881334275
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,107,unimol,mlp,0.1655603655603656,0.23509700176366843,0.08333333333333333,0.336808645899555,0.39207459207459205,0.08333333333333333,-0.1712482803391894
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,107,unimol,xgboost,0.28869648869648873,0.34797178130511464,0.08333333333333333,0.0966983587304443,0.17197349550290728,0.08333333333333333,0.19199812996604443
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,114,molformer,mlp,0.015576755127338292,0.03171484110885733,0.01639344262295082,0.008893633186977863,0.02514127854456839,0.01639344262295082,0.006683121940360429
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,114,molformer,xgboost,0.01628611145519358,0.0324125686444527,0.01639344262295082,0.006544638935943283,0.022830792396009787,0.01639344262295082,0.009741472519250297
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,114,morgan,mlp,0.011027435417679322,0.027240100410832118,0.01639344262295082,0.006929603819847721,0.02320944638017809,0.01639344262295082,0.004097831597831601
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,114,morgan,xgboost,0.017507002801120445,0.03361344537815126,0.01639344262295082,0.0031192881192881176,0.019461594871430937,0.01639344262295082,0.014387714681832328
fixed_selected_absolute_domain_only,strict_unmatched,crem_mean_signed_exponent_0.5,CHEMBL239_EC50,114,unimol,mlp,0.021256134328029752,0.03730111573248828,0.01639344262295082,0.00903118702086865,0.02527657739757572,0.01639344262295082,0.012224947307161102
