scenario,dataset,variant,median_lsqr_vs_svd_fitted_max_abs_difference,maximum_lsqr_vs_svd_fitted_max_abs_difference,median_lsqr_vs_svd_coefficient_relative_l2_difference,q95_lsqr_vs_svd_coefficient_relative_l2_difference,maximum_lsqr_vs_svd_coefficient_relative_l2_difference,local_fits
fixed_selected_support_0_60,CHEMBL239_EC50,label_permuted,3.234865877366211e-05,0.0004423610263062372,0.00025008287975144183,0.0004448102356389449,0.0006889731345556317,1188
fixed_selected_support_0_60,CHEMBL239_EC50,trained,0.00015117018329302567,0.0007749406941952586,0.0002487555743848136,0.00046980489593370433,0.0007855290079400344,1188
fixed_selected_support_0_60,CHEMBL244_Ki,label_permuted,3.312156463020077e-05,0.00041849483076505933,0.00020340888130124506,0.00040018324487636195,0.0007453768495529078,1872
fixed_selected_support_0_60,CHEMBL244_Ki,trained,0.00016885653759957098,0.0014432485973046028,0.0002019290115730243,0.00039383862736450034,0.0007215639933421795,1872
fixed_selected_support_0_60,CHEMBL2835_Ki,label_permuted,2.1174268059420687e-05,0.0004460441838560758,0.00013090606085475886,0.00037692228206354485,0.0005086378587647123,180
fixed_selected_support_0_60,CHEMBL2835_Ki,trained,3.456704940763e-05,0.0004175565292250383,0.0001368640949900886,0.00035731355009060875,0.0005376172751287042,180
fixed_selected_support_0_60,CHEMBL287_Ki,label_permuted,1.8663016266518007e-05,0.00015204056544537714,0.00016223744705213958,0.000323146002660186,0.0005804697502296592,936
fixed_selected_support_0_60,CHEMBL287_Ki,trained,9.719349621861717e-05,0.0005259829300752195,0.00016809473528793165,0.00033439952100833265,0.0004926081047087127,936
fixed_selected_support_0_60,CHEMBL4616_EC50,label_permuted,2.4771130643364003e-05,0.00029850123768881964,0.00021286989860203216,0.00039922113569583484,0.0006701184913062378,324
fixed_selected_support_0_60,CHEMBL4616_EC50,trained,8.669067740751935e-05,0.0005499478635118127,0.0002009179839377852,0.00038058803654275597,0.0004943303171530437,324
fixed_selected_support_0_70_restriction,CHEMBL2147_Ki,label_permuted,1.81291837257902e-05,0.0005515456548099706,9.269767636951393e-05,0.0002610234082187542,0.0005188985492862533,504
fixed_selected_support_0_70_restriction,CHEMBL2147_Ki,trained,5.248305113880747e-05,0.0006605928660232685,9.823791160429744e-05,0.0002505006086691226,0.0004599321905444756,504
fixed_selected_support_0_70_restriction,CHEMBL239_EC50,label_permuted,1.845486424678633e-05,0.000176360599391856,0.00019368676961190018,0.0003814902091460014,0.0005877388226298314,1188
fixed_selected_support_0_70_restriction,CHEMBL239_EC50,trained,9.612674673564747e-05,0.0004531770129099222,0.00019454387722236537,0.0003966501664938945,0.00060775538724307,1188
fixed_selected_support_0_70_restriction,CHEMBL244_Ki,label_permuted,2.0701734122940962e-05,0.00024236141246203324,0.00016277531567287265,0.0003393495949418065,0.0006486981060077523,1872
fixed_selected_support_0_70_restriction,CHEMBL244_Ki,trained,0.0001054303166750925,0.0006813589497052241,0.00015980230773963598,0.0003415160974760535,0.0006217067166209521,1872
fixed_selected_support_0_70_restriction,CHEMBL2835_Ki,label_permuted,6.269013337334428e-06,0.0002721190770135218,7.168579762632137e-05,0.000256511171083647,0.00032430529931497693,180
fixed_selected_support_0_70_restriction,CHEMBL2835_Ki,trained,1.397025059160506e-05,0.00020656347191566615,7.478748863805259e-05,0.00028073593178331267,0.0003338345496314681,180
fixed_selected_support_0_70_restriction,CHEMBL287_Ki,label_permuted,5.6155632586207815e-06,0.00010690949306413344,8.800131826223606e-05,0.00028330436926313576,0.000558459109229438,936
fixed_selected_support_0_70_restriction,CHEMBL287_Ki,trained,4.0570065562239854e-05,0.00022056804486203507,8.166294204895216e-05,0.00026830071945216057,0.0004785959095150705,936
fixed_selected_support_0_70_restriction,CHEMBL4616_EC50,label_permuted,1.3080202106441341e-05,0.00010284013344863396,0.00017102097937886184,0.0003610204849587121,0.0004756322809318706,324
fixed_selected_support_0_70_restriction,CHEMBL4616_EC50,trained,5.558484815637588e-05,0.0002842970923240262,0.00017481108976417887,0.00033840256011033573,0.0004427963413043637,324
