dataset,representation,predictor,seed,variant,parent_rows,mutant_rows,reference_max_abs_difference
CHEMBL2147_Ki,unimol,xgboost,11,label_permuted,54,1537,8.344650268554688e-07
CHEMBL2147_Ki,unimol,xgboost,11,trained,54,1537,9.5367431640625e-07
CHEMBL2147_Ki,unimol,xgboost,23,label_permuted,54,1537,1.1920928955078125e-07
CHEMBL2147_Ki,unimol,xgboost,23,trained,54,1537,3.5762786860793483e-06
CHEMBL2147_Ki,unimol,xgboost,42,label_permuted,54,1537,7.152557370826429e-07
CHEMBL2147_Ki,unimol,xgboost,42,trained,54,1537,1.1920928955078125e-06
CHEMBL287_Ki,unimol,mlp,11,label_permuted,102,2558,2.384185791015625e-07
CHEMBL287_Ki,unimol,mlp,11,trained,102,2558,3.5762786865234375e-07
CHEMBL287_Ki,unimol,mlp,23,label_permuted,102,2558,2.384185791015625e-07
CHEMBL287_Ki,unimol,mlp,23,trained,102,2558,4.768371586472142e-07
CHEMBL287_Ki,unimol,mlp,42,label_permuted,102,2558,2.384185791015625e-07
CHEMBL287_Ki,unimol,mlp,42,trained,102,2558,4.76837158203125e-07
CHEMBL287_Ki,unimol,xgboost,11,label_permuted,102,2558,2.220446049250313e-16
CHEMBL287_Ki,unimol,xgboost,11,trained,102,2558,1.5497207641601562e-06
CHEMBL287_Ki,unimol,xgboost,23,label_permuted,102,2558,2.384185793236071e-07
CHEMBL287_Ki,unimol,xgboost,23,trained,102,2558,2.1457672119140625e-06
CHEMBL287_Ki,unimol,xgboost,42,label_permuted,102,2558,2.384185793236071e-07
CHEMBL287_Ki,unimol,xgboost,42,trained,102,2558,2.1457672119140625e-06
CHEMBL244_Ki,unimol,mlp,11,label_permuted,206,8930,4.76837158203125e-07
CHEMBL244_Ki,unimol,mlp,11,trained,206,8930,1.1920928955078125e-06
CHEMBL244_Ki,unimol,mlp,23,label_permuted,206,8930,4.76837158203125e-07
CHEMBL244_Ki,unimol,mlp,23,trained,206,8930,9.536743168503392e-07
CHEMBL244_Ki,unimol,mlp,42,label_permuted,206,8930,2.384185795456517e-07
CHEMBL244_Ki,unimol,mlp,42,trained,206,8930,9.5367431640625e-07
CHEMBL244_Ki,unimol,xgboost,11,label_permuted,206,8930,4.76837158203125e-07
CHEMBL244_Ki,unimol,xgboost,11,trained,206,8930,3.814697265625e-06
CHEMBL244_Ki,unimol,xgboost,23,label_permuted,206,8930,2.384185795456517e-07
CHEMBL244_Ki,unimol,xgboost,23,trained,206,8930,4.76837158203125e-06
CHEMBL244_Ki,unimol,xgboost,42,label_permuted,206,8930,2.384185791015625e-07
CHEMBL244_Ki,unimol,xgboost,42,trained,206,8930,4.291534423828125e-06
