scenario,rationale,explainer,dataset,component_id,representation,predictor,trained_nap,trained_ap,trained_prevalence,permuted_nap,permuted_ap,permuted_prevalence,delta_nap_rescore,delta_nap_reference,rescore_minus_reference_delta_nap
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,149,molformer,xgboost,0.23530592502636183,0.4680389043661648,0.30434782608695654,0.13493281344091826,0.3982141310893345,0.30434782608695654,0.10037311158544357,0.10037311158544354,2.7755575615628914e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,149,morgan,mlp,-0.09256275255941233,0.2399563460456262,0.30434782608695654,0.5409660585543506,0.6806720407334613,0.30434782608695654,-0.633528811113763,-0.633528811113763,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,149,morgan,xgboost,0.4638184544506747,0.6270041422265563,0.30434782608695654,0.5411273191954783,0.6807842220490284,0.30434782608695654,-0.07730886474480358,-0.07730886474480358,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,149,unimol,mlp,-0.04520239675718631,0.27290268051674,0.30434782608695654,-0.002122157537333469,0.3028715425827246,0.30434782608695654,-0.043080239219852844,-0.04308023921985284,-6.938893903907228e-18
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,149,unimol,xgboost,0.5188808942384932,0.6653084481659083,0.30434782608695654,0.021043876854012683,0.3189870447680088,0.30434782608695654,0.4978370173844805,0.49783701738448044,5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,153,molformer,mlp,0.09711591353477778,0.27267670812523764,0.19444444444444445,-0.0476719009081967,0.15604207982395266,0.19444444444444445,0.14478781444297448,0.14478781444297442,5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,153,molformer,xgboost,0.12638477670991485,0.29625440346076476,0.19444444444444445,-0.0007859805259110564,0.19381129346523832,0.19444444444444445,0.1271707572358259,0.12717075723582585,5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,153,morgan,mlp,-0.04439916541487754,0.15867845008245976,0.19444444444444445,0.15949282420964375,0.32292477505776856,0.19444444444444445,-0.2038919896245213,-0.2038919896245212,-8.326672684688674e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,153,morgan,xgboost,0.49252670037025464,0.5912020641871495,0.19444444444444445,0.19724125380730131,0.35333323223365937,0.19444444444444445,0.2952854465629533,0.2952854465629532,1.1102230246251565e-16
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,153,unimol,mlp,0.011310549688656529,0.20355572058252888,0.19444444444444445,0.026567360748923047,0.21584592949218803,0.19444444444444445,-0.015256811060266518,-0.01525681106026647,-4.85722573273506e-17
