source,dataset,component_id,rationale,representation,predictor,seed,variant,baseline,atoms,positive_atoms,prevalence,score_unique_values,score_zero_fraction,observed_ap,observed_nap,null_mean_ap,null_sd_ap,null_mean_nap,null_sd_nap,null_adjusted_nap,null_z,empirical_upper_p,precision_at_changed_count,recall_at_changed_count,changed_atom_enrichment_at_changed_count,cutoff_tie_atoms
generator,CHEMBL204_Ki,43,strict_unmatched,,,,generator_only,support_any,66,2,0.030303030303030304,1,0.0,0.030303030303030304,0.0,0.030303030303030293,1.0418764835294458e-17,0.0,0.0,0.0,,1.0,0.030303030303030304,0.030303030303030304,1.0,66
generator,CHEMBL204_Ki,43,strict_unmatched,,,,generator_only,selected_mean_nearest_train_tanimoto,66,2,0.030303030303030304,33,0.0,0.13247863247863248,0.10536858974358974,0.0876194198616814,0.11871007676250456,0.05910752673235895,0.12241976666133282,0.04626106301123079,0.37788883505397736,0.10379241516966067,0.0,0.0,0.0,1
generator,CHEMBL204_Ki,51,boundary_extended,,,,generator_only,support_any,80,20,0.25,1,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,,1.0,0.25,0.25,1.0,80
generator,CHEMBL204_Ki,51,boundary_extended,,,,generator_only,selected_mean_nearest_train_tanimoto,80,20,0.25,34,0.0,0.9687142857142856,0.9582857142857142,0.2703984787254538,0.049703965604495956,0.027197971633938396,0.06627195413932795,0.9310877426517757,14.049498837687628,0.001996007984031936,0.9,0.9,3.6,2
generator,CHEMBL204_Ki,51,strict_unmatched,,,,generator_only,support_any,80,14,0.175,1,0.0,0.175,0.0,0.175,0.0,0.0,0.0,0.0,,1.0,0.175,0.175,1.0,80
generator,CHEMBL204_Ki,51,strict_unmatched,,,,generator_only,selected_mean_nearest_train_tanimoto,80,14,0.175,34,0.0,0.953002354788069,0.9430331573188716,0.20145181556941755,0.04753120896602961,0.032062806750809164,0.05761358662549043,0.9109703505680624,15.811727821940783,0.001996007984031936,0.9285714285714286,0.9285714285714286,5.306122448979592,1
generator,CHEMBL204_Ki,52,boundary_extended,,,,generator_only,support_any,76,10,0.13157894736842105,1,0.0,0.13157894736842105,0.0,0.13157894736842105,0.0,0.0,0.0,0.0,,1.0,0.13157894736842105,0.13157894736842105,1.0,76
generator,CHEMBL204_Ki,52,boundary_extended,,,,generator_only,selected_mean_nearest_train_tanimoto,76,10,0.13157894736842105,38,0.0,0.9625000000000001,0.956818181818182,0.17451842898510678,0.06150870293312355,0.04944546367981991,0.0708282033775362,0.9073727181383621,12.810895587761632,0.001996007984031936,0.9,0.9,6.840000000000001,1
generator,CHEMBL204_Ki,52,strict_unmatched,,,,generator_only,support_any,76,6,0.07894736842105263,1,0.0,0.07894736842105263,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,,1.0,0.07894736842105263,0.07894736842105263,1.0,76
generator,CHEMBL204_Ki,52,strict_unmatched,,,,generator_only,selected_mean_nearest_train_tanimoto,76,6,0.07894736842105263,38,0.0,0.7746031746031746,0.7552834467120182,0.1264766152193178,0.06330365189142434,0.05160318223811649,0.06872967919640356,0.7036802644739018,10.238375512608583,0.001996007984031936,0.6666666666666666,0.6666666666666666,8.444444444444445,1
generator,CHEMBL204_Ki,55,boundary_extended,,,,generator_only,support_any,71,3,0.04225352112676056,2,0.28169014084507044,0.058823529411764705,0.017301038062283735,0.04639197275154193,0.009943052892923196,0.004321030372933485,0.010381716991140395,0.012980007689350249,1.2502756240058555,0.3812375249500998,0.0588235294117647,0.0588235294117647,1.392156862745098,51
