dataset,component_id,representation,predictor,mapping_combinations_evaluated,chosen_mapping_nap,minimum_mapping_nap,maximum_mapping_nap,mapping_nap_range
CHEMBL218_EC50,57,unimol,xgboost,2,0.3697191697191698,0.3697191697191698,0.3996743996743997,0.029955229955229923
CHEMBL218_EC50,57,unimol,mlp,2,0.3687201687201688,0.3559511991031691,0.3687201687201688,0.012768969616999692
CHEMBL218_EC50,58,morgan,xgboost,3,-0.000993675031491032,-0.000993675031491032,0.005582413728492832,0.006576088759983864
CHEMBL218_EC50,58,morgan,mlp,3,-0.016346892740103133,-0.018021282741037606,-0.016346892740103133,0.0016743900009344725
CHEMBL218_EC50,58,molformer,xgboost,3,0.05342774990999142,0.05342774990999142,0.18989697174506687,0.13646922183507545
CHEMBL218_EC50,58,molformer,mlp,3,0.05281759521327873,0.05281759521327873,0.0908015286240414,0.037983933410762664
CHEMBL218_EC50,58,unimol,xgboost,3,0.03517985848683566,0.03517985848683566,0.06945284530958418,0.034272986822748513
CHEMBL218_EC50,58,unimol,mlp,3,0.1142007244927882,0.1142007244927882,0.1265801306840195,0.01237940619123129
CHEMBL218_EC50,61,morgan,xgboost,2,0.09468438538205978,0.04780539228213645,0.09468438538205978,0.046878993099923334
CHEMBL218_EC50,61,morgan,mlp,2,0.010913998295954077,0.010913998295954077,0.02819876103198532,0.017284762736031245
CHEMBL218_EC50,61,molformer,xgboost,2,0.017518730212045613,0.017518730212045613,0.03198906841177703,0.014470338199731418
CHEMBL218_EC50,61,molformer,mlp,2,0.013709038054968276,0.00035794862894828676,0.013709038054968276,0.01335108942601999
CHEMBL218_EC50,61,unimol,xgboost,2,0.08606150210454531,0.018930620546946643,0.08606150210454531,0.06713088155759867
CHEMBL218_EC50,61,unimol,mlp,2,0.05066339792990205,0.036443933973003745,0.05066339792990205,0.014219463956898305
CHEMBL219_Ki,17,morgan,xgboost,2,0.0021929824561403837,0.0021929824561403837,0.06218671679197986,0.059993734335839474
CHEMBL219_Ki,17,morgan,mlp,2,0.0021929824561403837,0.0021929824561403837,0.10635964912280697,0.10416666666666659
CHEMBL219_Ki,17,molformer,xgboost,2,0.07581453634085211,0.07581453634085211,0.10635964912280697,0.03054511278195486
CHEMBL219_Ki,17,molformer,mlp,2,0.10526315789473682,0.10526315789473682,0.13580827067669168,0.03054511278195486
CHEMBL219_Ki,17,unimol,xgboost,2,0.031641604010025005,0.031641604010025005,0.06218671679197986,0.030545112781954854
CHEMBL219_Ki,17,unimol,mlp,2,0.016917293233082692,0.016917293233082692,0.13580827067669168,0.11889097744360899
CHEMBL219_Ki,76,morgan,xgboost,2,0.2789473684210526,0.2789473684210526,0.3279904306220096,0.049043062200957
CHEMBL219_Ki,76,morgan,mlp,2,0.2631578947368421,0.2631578947368421,0.31798245614035087,0.054824561403508776
CHEMBL219_Ki,76,molformer,xgboost,2,0.4078947368421052,0.4078947368421052,0.49999999999999994,0.09210526315789475
CHEMBL219_Ki,76,molformer,mlp,2,0.10855263157894735,0.10855263157894735,0.20065789473684212,0.09210526315789477
CHEMBL219_Ki,76,unimol,xgboost,2,0.27392344497607657,0.27392344497607657,0.3166866028708134,0.042763157894736836
