draw,unadjusted_boundary_extended,null_adjusted_boundary_extended,null_adjusted_strict_unmatched,null_adjusted_boundary_prevalence_le_0_8
162,-0.0111895963336358,-0.006950313060318828,-0.013058565780740132,-0.01302911334147498
163,-0.0117064024071623,-0.0021303787664979368,-0.008782251602564156,-0.008864084803434757
164,-0.00227490436439445,-0.004478680545644804,-0.008631878579401203,-0.01586593268418763
165,-0.0094761504825895,-0.006183041027262144,-0.017777063825912987,-0.010730742008256466
166,-0.006524270088978,-0.007185567973036014,-0.010436913985103475,-0.00961699798912146
167,-0.0080066516679024,-0.010364110367297452,-0.009557133761300421,-0.007993723653108858
168,-0.0066980247222447,-0.00399800031321388,-0.010385297719442186,-0.01016699664815704
169,-0.00509682087809635,-0.010843738837068016,-0.010701873295239517,-0.008864084803434757
170,0.0,-0.012546118620457639,-0.011644245755667637,-0.006815920802463377
171,-0.005861606233483051,-0.012078839971048165,-0.016607040146150158,-0.005997809725735256
172,-0.0116840580845579,-0.013541064265239922,-0.012719648258282916,-0.013514995712696404
173,-0.00563201480753505,-0.007881053904101543,-0.010701873295239517,-0.010917501259763169
174,-0.0040773765646609,-0.010364110367297452,-0.0034627336365741423,-0.012399030106549047
175,-0.0107265703387327,-0.00622729287841485,-0.011978569676472544,-0.008857526556932532
176,-0.0080616169390889,-0.006100354463143481,-0.010701873295239517,-0.010797431321770821
177,-0.01043194635723515,-0.009084282310016588,-0.008425379116088559,-0.013487923136229126
178,-0.0039579706632636,-0.01222048612232155,-0.013057509382340259,-0.01422625965717492
179,-0.0022432542352757,-0.006452554752578251,-0.010809361649955426,-0.0014385805898267934
180,-0.00277891293156945,-0.01113931540774176,-0.012337294446922602,-0.006503232413782851
181,-0.0029117652705584,-0.00961699798912146,-0.00829332891961402,-0.014221861066274988
182,-0.0055186667042923495,-0.01220075931809958,-0.021549440191056896,-0.006957624323549516
183,-0.0090628463220459,-0.0005690556890369236,-0.009735131517274422,-0.00846215777022355
184,-0.00219161325591115,-0.007112208727964,-0.011721640338380404,-0.010921257802186002
185,-0.011045329867538551,-0.0110576556014262,-0.008695812026948885,-0.0160440334119386
186,-0.0096401232005488,-0.006815920802463377,-0.011528189989771325,-0.011777460701494994
187,-0.0026851851851851,-0.007651742877670997,-0.008343817082388509,-0.007552383253470789
188,-0.00645817335931665,-0.012404336118250123,-0.012343247270227573,-0.0020642888656552637
189,-0.0124058429039632,-0.014902771170628326,-0.010070484666643346,-0.011227735592540877
190,-0.0027648264263273,-0.016221853669210317,-0.01034627237127174,-0.011880114488131505
191,-0.002088242997333873,-0.007974160104151758,-0.012343247270227573,-0.015296798587008935
192,-0.0065215121483298,-0.011931255395319904,-0.0068026838319905705,-0.006452554752578251
