dataset,representation,predictor,components,median_delta_nap,median_delta_null_adjusted_nap
CHEMBL4616_EC50,molformer,mlp,9,-0.0197440185456711,-0.013179971210379504
CHEMBL4616_EC50,molformer,xgboost,9,0.0,0.0
CHEMBL4616_EC50,morgan,mlp,9,-0.013826829703995,-0.009570889198705329
CHEMBL4616_EC50,morgan,xgboost,9,0.0909863101438536,0.08426619893762977
CHEMBL4616_EC50,unimol,mlp,9,-0.0185964799672999,-0.013006829572250078
CHEMBL4616_EC50,unimol,xgboost,9,0.0,0.0
CHEMBL4792_Ki,molformer,mlp,21,0.0103188253586307,0.017754183983027694
CHEMBL4792_Ki,molformer,xgboost,21,-0.0384862312934958,-0.03662340757792899
CHEMBL4792_Ki,morgan,mlp,21,0.0177812389723746,0.03115697619183623
CHEMBL4792_Ki,morgan,xgboost,21,0.0613050433961406,0.050515938067950114
CHEMBL4792_Ki,unimol,mlp,21,0.0170186599226764,0.016786594979349763
CHEMBL4792_Ki,unimol,xgboost,21,-0.0051127330445941,-0.0042977325740441025
