dataset,component_id,left_index,right_index,representation,predictor,trained_ap,trained_nap,permuted_ap,permuted_nap,prevalence,delta_ap,delta_nap
CHEMBL1862_Ki,22,456,533,unimol,xgboost,0.8080636806087999,0.6907692632030663,0.7192762943463046,0.5477229186690463,0.3793103448275861,0.0887873862624952,0.14304634453402
CHEMBL1862_Ki,25,576,727,molformer,mlp,0.8548543660301999,-0.2579288277382672,0.8322664715513578,-0.4536905798882319,0.8846153846153846,0.0225878944788421,0.1957617521499647
CHEMBL1862_Ki,25,576,727,molformer,xgboost,0.8814081817907923,-0.0277957578131335,0.8801021553258014,-0.039114653843054,0.8846153846153846,0.0013060264649908,0.0113188960299204
CHEMBL1862_Ki,25,576,727,morgan,mlp,0.8291964280994694,-0.4802976231379317,0.8229497797663242,-0.53443524202519,0.8846153846153846,0.0062466483331451,0.0541376188872582
CHEMBL1862_Ki,25,576,727,morgan,xgboost,0.8295516422465193,-0.4772191005301656,0.8839506496139521,-0.0057610366790806,0.8846153846153846,-0.0543990073674327,-0.4714580638510849
CHEMBL1862_Ki,25,576,727,unimol,mlp,0.8233728872705491,-0.5307683103219061,0.7993785280422402,-0.7387194236339178,0.8846153846153846,0.0239943592283089,0.2079511133120117
CHEMBL1862_Ki,25,576,727,unimol,xgboost,0.8607841804650459,-0.2065371026362685,0.8361803314133845,-0.4197704610840001,0.8846153846153846,0.0246038490516613,0.2132333584477315
CHEMBL1862_Ki,27,709,711,molformer,mlp,0.4721615546803515,0.3115150713221977,0.572864901696171,0.4428672630819623,0.2333333333333333,-0.1007033470158194,-0.1313521917597645
CHEMBL1862_Ki,27,709,711,molformer,xgboost,0.4693722109135642,0.3078767968437794,0.493483632769347,0.3393264775252353,0.2333333333333333,-0.0241114218557828,-0.0314496806814558
CHEMBL1862_Ki,27,709,711,morgan,mlp,0.2895161100242769,0.0732818826403612,0.7139501371644229,0.626891483257943,0.2333333333333333,-0.4244340271401459,-0.5536096006175817
CHEMBL1862_Ki,27,709,711,morgan,xgboost,0.2436705483290743,0.0134833239074882,0.708531746031746,0.6198240165631469,0.2333333333333333,-0.4648611977026716,-0.6063406926556587
CHEMBL1862_Ki,27,709,711,unimol,mlp,0.3005683712960713,0.0876978756035712,0.3843732193732194,0.1970085470085469,0.2333333333333333,-0.083804848077148,-0.1093106714049757
CHEMBL1862_Ki,27,709,711,unimol,xgboost,0.3487904068509995,0.1505961828491297,0.4192569022830159,0.2425090029778468,0.2333333333333333,-0.0704664954320164,-0.0919128201287171
CHEMBL1871_Ki,1,9,11,molformer,mlp,0.2729024266401717,0.0651602628230779,0.2994191765025097,0.0992532269317982,0.2222222222222222,-0.026516749862338,-0.0340929641087204
CHEMBL1871_Ki,1,9,11,molformer,xgboost,0.3354247218830552,0.1455460709924995,0.349559429767763,0.1637192668442668,0.2222222222222222,-0.0141347078847078,-0.0181731958517673
CHEMBL1871_Ki,1,9,11,morgan,mlp,0.2645257134840468,0.0543902030509173,0.3338101894474443,0.1434702435752855,0.2222222222222222,-0.0692844759633974,-0.0890800405243682
CHEMBL1871_Ki,1,9,11,morgan,xgboost,0.417234771401438,0.2507304203732775,0.3254434608601275,0.1327130211058782,0.2222222222222222,0.0917913105413105,0.1180173992673992
CHEMBL1871_Ki,1,9,11,unimol,mlp,0.3814650899209721,0.2047408298983928,0.4610119047619047,0.3070153061224489,0.2222222222222222,-0.0795468148409325,-0.1022744762240561
CHEMBL1871_Ki,1,9,11,unimol,xgboost,0.2706333993711444,0.0622429420486143,0.2623957537560478,0.0516516834006329,0.2222222222222222,0.0082376456150966,0.0105912586479814
CHEMBL1871_Ki,6,91,92,molformer,mlp,0.3172079329688025,0.0762224975460269,0.281100637486507,0.0273714507170389,0.2608695652173913,0.0361072954822955,0.048851046828988
CHEMBL1871_Ki,6,91,92,molformer,xgboost,0.3566310098918794,0.129559601618425,0.2506727320586016,-0.0137957154501271,0.2608695652173913,0.1059582778332778,0.1433553170685522
