dataset,representation,predictor,seed,pairs,exact_zero_ties,tie_fraction,strict_direction_accuracy,non_tie_direction_accuracy,sign_flipped_strict_accuracy,median_absolute_predicted_delta
CHEMBL2047_EC50,unimol,xgboost,23,10,0,0.0,0.2,0.2,0.8,0.051555395126342746
CHEMBL2047_EC50,unimol,xgboost,42,10,0,0.0,0.6,0.6,0.4,0.05675137042999265
CHEMBL204_Ki,molformer,mlp,11,47,0,0.0,0.5319148936170213,0.5319148936170213,0.46808510638297873,0.0515139102935791
CHEMBL204_Ki,molformer,mlp,23,47,0,0.0,0.40425531914893614,0.40425531914893614,0.5957446808510638,0.0796895027160644
CHEMBL204_Ki,molformer,mlp,42,47,0,0.0,0.7021276595744681,0.7021276595744681,0.2978723404255319,0.044081687927246
CHEMBL204_Ki,molformer,xgboost,11,47,3,0.06382978723404255,0.44680851063829785,0.4772727272727273,0.48936170212765956,0.0372321605682373
CHEMBL204_Ki,molformer,xgboost,23,47,0,0.0,0.48936170212765956,0.48936170212765956,0.5106382978723404,0.0735363960266113
CHEMBL204_Ki,molformer,xgboost,42,47,3,0.06382978723404255,0.46808510638297873,0.5,0.46808510638297873,0.0393128395080566
CHEMBL204_Ki,morgan,mlp,11,47,0,0.0,0.46808510638297873,0.46808510638297873,0.5319148936170213,0.1057965755462646
CHEMBL204_Ki,morgan,mlp,23,47,0,0.0,0.5106382978723404,0.5106382978723404,0.48936170212765956,0.0995677709579467
CHEMBL204_Ki,morgan,mlp,42,47,0,0.0,0.5957446808510638,0.5957446808510638,0.40425531914893614,0.0994915962219238
CHEMBL204_Ki,morgan,xgboost,11,47,30,0.6382978723404256,0.19148936170212766,0.5294117647058824,0.1702127659574468,0.0
CHEMBL204_Ki,morgan,xgboost,23,47,45,0.9574468085106383,0.02127659574468085,0.5,0.02127659574468085,0.0
CHEMBL204_Ki,morgan,xgboost,42,47,44,0.9361702127659575,0.0425531914893617,0.6666666666666666,0.02127659574468085,0.0
CHEMBL204_Ki,unimol,mlp,11,47,0,0.0,0.425531914893617,0.425531914893617,0.574468085106383,0.1779954433441162
CHEMBL204_Ki,unimol,mlp,23,47,0,0.0,0.44680851063829785,0.44680851063829785,0.5531914893617021,0.1026618480682373
CHEMBL204_Ki,unimol,mlp,42,47,0,0.0,0.5531914893617021,0.5531914893617021,0.44680851063829785,0.1311936378479004
CHEMBL204_Ki,unimol,xgboost,11,47,2,0.0425531914893617,0.425531914893617,0.4444444444444444,0.5319148936170213,0.0594470500946044
CHEMBL204_Ki,unimol,xgboost,23,47,0,0.0,0.5957446808510638,0.5957446808510638,0.40425531914893614,0.0800135135650634
CHEMBL204_Ki,unimol,xgboost,42,47,0,0.0,0.46808510638297873,0.46808510638297873,0.5319148936170213,0.0731153488159179
CHEMBL2147_Ki,molformer,mlp,11,14,0,0.0,0.5,0.5,0.5,0.1740932464599609
CHEMBL2147_Ki,molformer,mlp,23,14,0,0.0,0.5,0.5,0.5,0.13155618309974665
CHEMBL2147_Ki,molformer,mlp,42,14,0,0.0,0.6428571428571429,0.6428571428571429,0.35714285714285715,0.09248599410057065
CHEMBL2147_Ki,molformer,xgboost,11,14,8,0.5714285714285714,0.35714285714285715,0.8333333333333334,0.07142857142857142,0.0
CHEMBL2147_Ki,molformer,xgboost,23,14,0,0.0,0.5,0.5,0.5,0.2762696444988251
CHEMBL2147_Ki,molformer,xgboost,42,14,2,0.14285714285714285,0.5,0.5833333333333334,0.35714285714285715,0.043074548244476304
CHEMBL2147_Ki,morgan,mlp,11,14,0,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.06491070985794065
CHEMBL2147_Ki,morgan,mlp,23,14,0,0.0,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.2335811853408813
CHEMBL2147_Ki,morgan,mlp,42,14,0,0.0,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.7872786521911621
CHEMBL2147_Ki,morgan,xgboost,11,14,3,0.21428571428571427,0.35714285714285715,0.45454545454545453,0.42857142857142855,0.07055616378784174
CHEMBL2147_Ki,morgan,xgboost,23,14,3,0.21428571428571427,0.5714285714285714,0.7272727272727273,0.21428571428571427,0.1125531196594238
CHEMBL2147_Ki,morgan,xgboost,42,14,8,0.5714285714285714,0.35714285714285715,0.8333333333333334,0.07142857142857142,0.0
CHEMBL2147_Ki,unimol,mlp,11,14,0,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.15264701843261716
CHEMBL2147_Ki,unimol,mlp,23,14,0,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.11426097154617305
CHEMBL2147_Ki,unimol,mlp,42,14,0,0.0,0.5,0.5,0.5,0.11768633127212519
CHEMBL2147_Ki,unimol,xgboost,11,14,0,0.0,0.35714285714285715,0.35714285714285715,0.6428571428571429,0.26216608285903925
CHEMBL2147_Ki,unimol,xgboost,23,14,0,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.03118497133255
CHEMBL2147_Ki,unimol,xgboost,42,14,0,0.0,0.6428571428571429,0.6428571428571429,0.35714285714285715,0.42049840092658997
CHEMBL218_EC50,molformer,mlp,11,20,0,0.0,0.4,0.4,0.6,0.04094588756561275
CHEMBL218_EC50,molformer,mlp,23,20,0,0.0,0.5,0.5,0.5,0.08327007293701169
CHEMBL218_EC50,molformer,mlp,42,20,0,0.0,0.5,0.5,0.5,0.08267581462860105
CHEMBL218_EC50,molformer,xgboost,11,20,11,0.55,0.3,0.6666666666666666,0.15,0.0
CHEMBL218_EC50,molformer,xgboost,23,20,0,0.0,0.5,0.5,0.5,0.16701018810272214
CHEMBL218_EC50,molformer,xgboost,42,20,0,0.0,0.5,0.5,0.5,0.0898847579956054
CHEMBL218_EC50,morgan,mlp,11,20,0,0.0,0.55,0.55,0.45,0.0338183641433715
CHEMBL218_EC50,morgan,mlp,23,20,0,0.0,0.45,0.45,0.55,0.037046432495117146
CHEMBL218_EC50,morgan,mlp,42,20,0,0.0,0.6,0.6,0.4,0.1391630172729492
CHEMBL218_EC50,morgan,xgboost,11,20,20,1.0,0.0,,0.0,0.0
CHEMBL218_EC50,morgan,xgboost,23,20,6,0.3,0.3,0.42857142857142855,0.4,0.05752444267272945
CHEMBL218_EC50,morgan,xgboost,42,20,12,0.6,0.25,0.625,0.15,0.0
CHEMBL218_EC50,unimol,mlp,11,20,0,0.0,0.6,0.6,0.4,0.03759086132049555
CHEMBL218_EC50,unimol,mlp,23,20,0,0.0,0.55,0.55,0.45,0.07079851627349851
