draw,alternative_full_delta_nap,alternative_paired_delta_nap,original_paired_delta_nap,paired_primary_estimate_change,paired_selection_change
174,-0.005080479734041371,-0.0015651289017834017,-0.0003849863115978,-0.0011801425901856017,0.0
175,0.0,-0.0027449194234689493,-0.003451003648495225,0.0007060842250262759,0.0
176,-0.0010275483024000279,-0.0008966716963752499,0.0011513553403836745,-0.0020480270367589245,0.0
177,0.0,-0.00358060559047385,-0.0025548106604574034,-0.0010257949300164467,0.0
178,-0.014142509061352154,-0.001831985898750246,-0.002015318227785675,0.00018333232903542914,0.0
179,-0.0009573750594582472,-0.007321825544256648,-0.006020756449446549,-0.0013010690948100992,0.0
180,-0.0025758543251961294,5.055907785687496e-05,-0.001025702494827274,0.001076261572684149,0.0
181,-0.0037595286606915993,0.0,0.0,0.0,0.0
182,0.0,-0.0001101261493070757,-0.0047151218304897005,0.004604995681182625,0.0
183,0.0,-0.003852314510540125,0.0,-0.003852314510540125,0.0
184,-0.0005501914851874002,-7.828718341795077e-05,-0.0025483406900924446,0.002470053506674494,0.0
185,-0.0034621766451276514,0.0,-0.0001571163106061634,0.0001571163106061634,0.0
186,-0.01618745516865528,0.0002473762028403024,-0.014110401924245878,0.01435777812708618,0.0
187,0.006776735557229577,-0.00020323712811475033,-0.002042610054543924,0.0018393729264291735,0.0
188,-0.003958145327013823,0.0011891889615659283,0.0,0.0011891889615659283,0.0
189,-0.003724183786743651,-0.013511600521622301,-0.009949459754457893,-0.0035621407671644085,0.0
190,-0.00133928571428575,-0.004682143187260101,-0.009917308383446847,0.005235165196186746,0.0
191,-0.0013656359347035,-0.0031903236270979475,-0.019885650294943227,0.01669532666784528,0.0
192,-0.01901666052586943,-0.003333337824527925,-0.005639750842395603,0.0023064130178676776,0.0
193,-0.0007967306888788002,-0.0049743377680345514,-0.003542985833179699,-0.0014313519348548524,0.0
194,-0.0005428184219154475,-0.002442118980867083,-0.003816800961545126,0.001374681980678043,0.0
195,-0.004645955659512848,0.0,0.0,0.0,0.0
196,-0.0072209536271007485,-0.029453911263555416,-0.027552119815605736,-0.0019017914479496807,0.0
197,-0.001279230943939975,-0.006946792206715076,-0.016962726953176223,0.010015934746461147,0.0
198,-0.0006574383649238739,-0.011315770927657901,-0.0018502168395434992,-0.009465554088114402,0.0
199,-0.0018256660174200488,0.0,-0.00400954665889745,0.00400954665889745,0.0
200,-0.007013421581751749,-0.001672511626054851,-0.0007166482979484748,-0.0009558633281063762,0.0
201,-0.0019399712039945022,-0.012193728957047106,-0.005446058502275974,-0.006747670454771131,0.0
202,-0.0026328952596704203,-0.001396438307572977,-0.0012451451838491265,-0.00015129312372385044,0.0
203,-0.001153446202931326,0.0009485946806391757,-0.0027632203850194476,0.0037118150656586233,0.0
204,-0.0037447680753303946,-0.0004786875297291236,-0.005661881977671437,0.005183194447942314,0.0
205,-0.00797109214667275,-0.002945175796967975,-0.0042597580879195004,0.0013145822909515254,0.0
206,-0.005827676625363426,-0.0025982661705494,-0.0024343830817852535,-0.0001638830887641463,0.0
207,-0.01324017006007425,-0.005617818304435147,-0.010540520503251072,0.004922702198815925,0.0
208,0.005792768055699075,-0.01143221345322465,-0.014923261249576304,0.0034910477963516536,0.0
209,-0.00784451268623738,-0.009415771557140934,-0.010575052824314101,0.0011592812671731671,0.0
