draw,alternative_full_delta_nap,alternative_paired_delta_nap,original_paired_delta_nap,paired_primary_estimate_change,paired_selection_change
118,0.0,-0.0014840159972105485,0.0,-0.0014840159972105485,0.0
119,0.0,-0.00989708003803568,-0.006880993139296951,-0.0030160868987387287,0.0
120,-0.002816004970043102,0.0,-0.001621719486092004,0.001621719486092004,0.0
121,0.0,-0.00016453498537968847,-0.00016015680044219934,-4.378184937489128e-06,0.0
122,-0.0005290182820666,-0.00021558650431099946,0.0,-0.00021558650431099946,0.0
123,-0.002574177310571844,-0.00443406292255705,-0.0010765077562339999,-0.00335755516632305,0.0
124,-0.0064972373739483474,0.0,-0.006444497490563849,0.006444497490563849,0.0
125,-0.0065672963400236,0.0,0.0,0.0,0.0
126,0.0,0.0,-0.00047937527289834995,0.00047937527289834995,0.0
127,-0.005073130317940301,-0.003724257392440306,-0.0022599702185967,-0.001464287173843606,0.0
128,-0.006979458450046702,-0.0181252903777037,-0.015564192294855702,-0.002561098082847999,0.0
129,-0.0083524065793,-0.0018347992572591999,-0.005531715038251922,0.003696915780992722,0.0
130,0.0,-0.0025781584345849484,0.0,-0.0025781584345849484,0.0
131,-0.0002202522986141514,-0.0003347565200274502,-0.00469895255269245,0.004364196032665,0.0
132,-0.006046390993340745,-0.008662026373525599,-0.006978242818962196,-0.0016837835545634033,0.0
133,0.0,-0.006981138450691399,-0.010574231454251152,0.0035930930035597535,0.0
134,0.0,0.0,-0.005138620746479999,0.005138620746479999,0.0
135,0.0,0.0,0.0,0.0,0.0
136,-0.0042734977282498435,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0
138,-0.0022738200073160533,-0.0018939393939392,-0.0006114130434782504,-0.0012825263504609495,0.0
139,0.0,0.0,0.0,0.0,0.0
140,-0.006142379678117851,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0
142,0.0,-0.001519512408822199,-0.00010835127809180611,-0.0014111611307303928,0.0
143,-0.0024587590232112034,0.0,-0.00229760017158375,0.00229760017158375,0.0
144,-0.00453277718164985,-0.007621196466219407,-0.005242496328527406,-0.002378700137692001,0.0
145,-0.0007597562044110995,-0.007052463851798649,0.0,-0.007052463851798649,0.0
146,0.0,-0.005934061826971492,0.0,-0.005934061826971492,0.0
147,0.0,0.0,0.0,0.0,0.0
