draw,target_balanced_median_delta_nap
607,0.0011513553403836745
608,-0.004822147506944185
609,-0.005997507483284252
610,-0.011465194841929868
611,-0.006260050032058227
612,-0.0028207053028822295
613,-0.002334709824588402
614,-0.0027092158291551014
615,-0.007523658977834901
616,-0.0212714827199567
617,0.0014737124617521802
618,0.0
619,-0.006604748017740851
620,-0.0022317292846114247
621,-0.008271406363281662
622,-0.011506567906682351
623,-0.04120485725830888
624,0.0
625,0.00184609540721395
626,-0.0106629759644047
627,-0.011307076605401277
628,-0.006927131521509376
629,-0.02081076967425112
630,-0.0018210016481121755
631,-0.001449039302488102
632,0.0
633,-0.00631002107556575
634,-0.012600596294290051
635,-0.003271467293579426
636,-0.0016322345618723496
637,-0.008873909503912978
638,-0.006729704919825601
639,-0.003467646184041425
640,-0.005961777740584901
641,0.0
642,0.0028754258350395757
643,0.0
644,-0.0037213624166197246
645,0.0
646,0.0
647,-0.007415893963896627
648,-0.0030398960483808517
649,-0.008223300943927026
650,-0.009832335513651681
651,-0.009567726630497368
652,-0.0028298617237948413
653,-0.0007657919823965543
654,-0.00225574712643675
655,-0.019437200664232948
656,-0.007209779649372001
657,-0.005362135704484202
658,-0.015969919691033407
659,0.0
660,-0.013136989298438052
661,-0.0013034780729289028
662,-0.007770929514622426
663,-0.0014266603718936502
664,0.00222889269200745
665,-0.003092484642457026
666,-0.003993668753706775
667,-0.0007811260404980008
668,-0.010303105757144467
669,-0.0085872520998572
670,-0.0011661123520958008
671,-0.005716113020679595
672,-0.0036064161660030033
673,-0.01119889473982735
674,-0.011823074581908373
675,0.011830420412317952
676,-0.003816800961545126
677,-0.0009397771810799251
678,0.0005208422725339994
679,-0.003459674645710351
680,-0.013574836873068982
681,-0.005637802609657301
682,0.0060722513354092
683,-2.053437247627422e-05
684,-0.021721932730337172
685,-0.015583699261887874
686,-0.0007271024351769503
687,-0.016668462254330624
688,0.0
689,-0.0021678889816884746
690,-0.005066443339916094
691,-0.0035374781796289998
692,-0.011104407306643799
693,-0.006443739378417078
694,-0.000148538712390425
695,0.0037858170099218935
696,-0.0023113451841628293
697,-0.004746513690145778
698,-0.009623220765795994
699,0.0014737124617521802
700,-0.0035847250992454994
701,-0.00018374419898982332
702,-0.005240251267805624
703,-0.006124796165818999
704,-0.022257428008691047
705,-0.01120510916104345
706,-0.009279268923714166
707,-0.007883676427755469
708,-0.0248922697528548
709,-0.006108051984787017
710,-0.006900522795266927
711,-0.013964382644853474
712,-0.010211964697123044
713,-0.006118753676714274
714,0.0005206609831152501
715,-0.0027092158291551014
716,-0.007633601923090252
717,0.0
718,-0.013913652401886908
719,-0.0113666612003262
720,-0.0182755327946677
721,-0.0048553394278964025
722,-0.005386374563976719
723,-0.006580021346564574
724,-0.001245999543899375
725,-0.004336985048245451
726,-0.0002487387638571512
727,0.0
728,-0.00915755130130815
729,-0.004485139902188674
730,-0.011817823555456125
731,-0.0029151361679210022
732,-0.0034366924085940014
733,-0.0182356925430952
734,-0.0194998372164722
735,-0.003816800961545126
736,-0.002264486518866478
737,-0.000622578205972175
738,-0.0036771882573218345
739,-0.033874915390780094
740,0.0
741,-0.00800336970988693
742,-0.008054527776750002
743,-0.010476571618454346
744,-0.006069409816026326
745,-0.007921924443267402
746,-0.009465774736045075
747,-0.005670678782999652
748,-0.006582658480671087
749,-0.005719290992301303
750,-0.003431597460025873
751,-0.0024087912403854255
752,-0.0245018649587362
753,-0.008121042981048213
754,-0.010745008595427843
755,-0.0027932520773379
756,-0.010126110072587565
757,0.0
758,-0.004543903396722076
759,-0.0021595843431936514
760,-0.01150835488186832
761,0.0
762,-0.009295863309924397
763,-0.008667904627525671
764,-0.015599226298255376
765,-0.004162878243760571
766,-0.011208107975595077
767,-0.004336985048245451
768,-0.0034034072097836494
769,0.0
770,-0.005980299414393281
771,-0.008737578224404177
772,-0.001577492122522651
773,-0.010281979262166919
774,0.0
775,-0.0036870161424420998
776,-0.012201364248572601
777,-0.005987283603496953
778,-0.0028645042280666757
779,-0.014947814800626076
780,-0.0014399145308261543
781,-0.008137452661089105
782,-0.0048058304395633715
783,-0.006151510786133528
784,-0.006424109419095824
785,-0.001527890175657853
786,-0.0163766460104798
787,0.000397898120302899
788,0.0017381398649796015
789,-0.010880064398815474
790,-0.006465176575775874
791,-0.0025935239621691754
792,-0.027352100602156627
793,5.482086134954954e-05
794,-0.007289784857399697
795,0.0002854022303844252
796,-0.002366943241888908
797,-0.004692332869037326
798,-0.004336985048245451
799,0.0
800,-0.00027561245641185
801,-0.0021949748443705
802,-0.003816800961545126
803,-0.011113060043625748
804,0.005776549455892975
805,0.021050223967382355
806,-0.009559193190486088
807,-0.012958731245785553
808,-0.009360944464955692
809,-0.00535714285714285
810,-0.0020241381841619244
811,0.014450314508846401
812,-0.01642910212252438
813,-0.013921089529556067
814,0.00021168083635035063
815,-0.010304542901068673
816,-0.009137729941649724
817,0.0
818,-0.011124342568534546
819,0.0023196825379478503
820,-0.00022122191443522433
821,-0.001665380658436199
822,-0.004917904627525669
